url,bbox
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=AlleghenyCounty_Munibnd202207.xml', '', '', '', '', '', ","-80.368334,40.184912,-79.676165,40.682344"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=AlleghenyCounty_NHI2000.xml', '', '', '', '', '', ","-89.875,30.375,-89.75,30.5"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=AlleghenyCounty_NWI2000.xml', '', '', '', '', '', ","-89.875,30.375,-89.75,30.5"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=AlleghenyCounty_Parcels202211.xml', '', '', '', '', '', ","-80.374573,40.121793,-79.653515,40.701059"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=AlleghenyCounty_Parking2000.xml', '', '', '', '', '', ","-80.341891,40.186777,-79.680831,40.681602"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=AlleghenyCounty_Parks202201.xml', '', '', '', '', '', ","-80.315632,40.187227,-79.680262,40.669904"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=AlleghenyCounty_Pools2000.xml', '', '', '', '', '', ","-80.242511,40.267287,-79.700434,40.679981"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=AlleghenyCounty_Publicbldgs2002.xml', '', '', '', '', '', ","-80.328480,40.193722,-79.710989,40.663950"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=AlleghenyCounty_Retainwall2006.xml', '', '', '', '', '', ","-80.354415,40.183723,-79.672045,40.686711"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=AlleghenyCounty_RRlines2006.xml', '', '', '', '', '', ","-80.303433,40.184464,-79.674389,40.683007"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=AlleghenyCounty_Slopes201001.xml', '', '', '', '', '', ","-80.368058,40.184919,-79.676165,40.682800"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=AlleghenyCounty_Soils2000.xml', '', '', '', '', '', ","-80.368656,40.184955,-79.676224,40.682989"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=AlleghenyCounty_Spotelev2006.xml', '', '', '', '', '', ","-80.373199,40.181481,-79.671427,40.686763"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=AlleghenyCounty_StreetCenterlines202211.xml', '', '', '', '', '', ","-79.959468,40.397843,-79.919319,40.430509"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=AlleghenyCounty_StreetEOP2006.xml', '', '', '', '', '', ","-80.373561,40.180747,-79.670692,40.686984"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=AlleghenyCounty_TreeCanopyChange_2010_2015_202207.xml', '', '', '', '', '', ","-80.368057,40.185665,-79.677803,40.682772"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=AlleghenyCounty_Votedist202007.xml', '', '', '', '', '', ","-80.368058,40.184919,-79.676165,40.682800"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=AlleghenyCounty_Watersheds2000.xml', '', '', '', '', '', ","-80.368712,40.184936,-79.675936,40.683114"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=AlleghenyCounty_WoodedAreas2011.xml', '', '', '', '', '', ","-80.368573,40.185801,-79.678470,40.683049"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=AlleghenyCountyImagery2010.xml', '', '', '', '', '', ","-80.085650,40.572534,-80.048712,40.600694"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=AlleghenyCountyImagery2010_TileIndex.xml', '', '', '', '', '', ","-80.085650,40.572534,-80.048712,40.600694"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=AlleghenyCountyImagery2013.xml', '', '', '', '', '', ","-80.085650,40.572534,-80.048712,40.600694"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=AlleghenyCountyImagery2013_%20TileIndex.xml', '', '', '', '', '', ","-80.085650,40.572534,-80.048712,40.600694"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=AlleghenyCountyImagery2015.xml', '', '', '', '', '', ","-80.085650,40.572534,-80.048712,40.600694"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=AlleghenyCountyImagery2015.xml', '', '', '', '', '', ","-80.085650,40.572534,-80.048712,40.600694"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=AlleghenyCountyImagery2015.xml', '', '', '', '', '', ",would not open
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=AlleghenyCountyImagery2017_3inch.xml', '', '', '', '', '', ","-80.085650,40.572534,-80.048712,40.600694"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=AlleghenyCountyImagery2017_3inch.xml', '', '', '', '', '', ","-80.085650,40.572534,-80.048712,40.600694"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=AlleghenyCountyImagery2017_9inch.xml', '', '', '', '', '', ","-80.085650,40.572534,-80.048712,40.600694"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=AlleghenyCountyImagery2017_9inch.xml', '', '', '', '', '', ","-80.085650,40.572534,-80.048712,40.600694"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=AlleghenyCountyLidar2015.xml', '', '', '', '', '', ","-80.085650,40.572534,-80.048712,40.600694"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=AlleghenyCountyLidar2015.xml', '', '', '', '', '', ","-80.085650,40.572534,-80.048712,40.600694"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=AlleghenyCountyLidar2015.xml', '', '', '', '', '', ","-80.085650,40.572534,-80.048712,40.600694"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=AlleghenyCountyLidar2015.xml', '', '', '', '', '', ","-80.085650,40.572534,-80.048712,40.600694"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=AlleghenyCountyLidar2017.xml', '', '', '', '', '', ","-80.085650,40.572534,-80.048712,40.600694"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=AlleghenyCountyLidar2017.xml', '', '', '', '', '', ","-80.085650,40.572534,-80.048712,40.600694"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=AlleghenyCountyLidar2017.xml', '', '', '', '', '', ","-80.085650,40.572534,-80.048712,40.600694"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=AlleghenyCountyLidar2017.xml', '', '', '', '', '', ","-80.085650,40.572534,-80.048712,40.600694"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=AlleghenyCountyLidar2017.xml', '', '', '', '', '', ","-80.085650,40.572534,-80.048712,40.600694"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=AlleghenyCountyUrbanTreeCanopy2010.xml', '', '', '', '', '', ","-80.368076,40.175564,-79.669145,40.682922"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=AlleghenyNationalForest_Compartment2021.xml', '', '', '', '', '', ","-79.498577,41.316700,-78.635818,42.010382"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=AlleghenyNationalForest_EcologicalLandtype.xml', '', '', '', '', '', ","-79.498722,41.318726,-78.636796,42.009903"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=AlleghenyNationalForest_ELT_Landform.xml', '', '', '', '', '', ","-79.498723,41.318728,-78.636796,42.009903"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=AlleghenyNationalForest_LandTypeAssociation_ANF.xml', '', '', '', '', '', ","-79.821547,41.191853,-78.100918,42.272064"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=AlleghenyNationalForest_MajorLocalTownPt2021.xml', '', '', '', '', '', ","-79.514124,41.416506,-78.273209,41.993658"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=AlleghenyNationalForest_ManagementArea2021.xml', '', '', '', '', '', ","-79.498673,41.312515,-78.635818,42.010382"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=AlleghenyNationalForest_TravelRoute202105.xml', '', '', '', '', '', ","-79.520025,41.240959,-78.598159,42.014750"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=AlleghenyNationalForest_Vegetation2021.xml', '', '', '', '', '', ","-79.498577,41.316700,-78.635818,42.010382"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=AlleghenyNationalForest_Warrant2021.xml', '', '', '', '', '', ","-79.488052,41.316700,-78.635777,42.011335"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=AllentownPA_ClassifiedLAS2016.xml', '', '', '', '', '', ","-75.557001119897,40.5461340160323,-75.4113585764082,40.6416381950144"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=AllentownPA_HydroFlattenedBareEarthRasterDEM2016.xml', '', '', '', '', '', ","-75.557001119897,40.5461340160323,-75.4113585764082,40.6416381950144"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=AllentownPA_HydroFlattenedBareEarthRasterDEM2016.xml', '', '', '', '', '', ","-75.557001119897,40.5461340160323,-75.4113585764082,40.6416381950144"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=AllentownPA_HydroFlattenedBreakline2016.xml', '', '', '', '', '', ","-75.557001119897,40.5461340160323,-75.4113585764082,40.6416381950144"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=AllentownPA_IntensityImages2016.xml', '', '', '', '', '', ","-75.557001119897,40.5461340160323,-75.4113585764082,40.6416381950144"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=AllentownPA_Orthos2016.xml', '', '', '', '', '', ","-75.557001119897,40.5461340160323,-75.4113585764082,40.6416381950144"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=AllentownPA_Orthos2016.xml', '', '', '', '', '', ","-75.557001119897,40.5461340160323,-75.4113585764082,40.6416381950144"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=AllentownPA_Orthos2016.xml', '', '', '', '', '', ","-75.557001119897,40.5461340160323,-75.4113585764082,40.6416381950144"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=AMC_Highlands.xml', '', '', '', '', '', ","-77.768426,39.711256,-75.041299,40.778268"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=AMLInventoryPoints2022_10.xml', '', '', '', '', '', ","-80.578083,39.706042,-75.440135,41.912381"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=AMLInventoryPolys2022_10.xml', '', '', '', '', '', ","-80.581888,39.699659,-75.435593,41.914002"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=AMLInventorySites2022_10.xml', '', '', '', '', '', ","-80.581935,39.699295,-75.434383,41.915429"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=Anthracite_Surface_Mine_Permits202211.xml', '', '', '', '', '', ","-76.750841,40.518827,-75.444417,41.676648"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=APCAW_10_20_16.xml', '', '', '', '', '', ","-76.440893,38.675886,-74.346809,42.463220"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=appalachiantrail2003.xml', '', '', '', '', '', ","-84.199830,34.626563,-68.921782,45.904373"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=AreaFisheriesManagement_Areas201901.xml', '', '', '', '', '', ","-80.521820,39.719340,-74.690290,42.269420"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=AreaFisheriesManagement_Offices201901.xml', '', '', '', '', '', ","-80.424570,40.023240,-74.997270,41.645710"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=AT_Centerline.xml', '', '', '', '', '', ","-84.199830,34.626563,-68.921782,45.904373"
