url,bbox
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=CrawfordCounty_PublicSafteyDept201805.xml', '', '', '', '', '', ","-80.796815,41.324292,-79.576124,41.980722"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=CrawfordCounty_QRS_DeptCoverage201808.xml', '', '', '', '', '', ","-80.534605,41.471638,-79.594905,41.867843"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=CrawfordCounty_Railroads201805.xml', '', '', '', '', '', ","-80.401313,41.481414,-79.627713,41.864441"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=CrawfordCounty_RecTrails201805.xml', '', '', '', '', '', ","-80.494817,41.564031,-79.944990,41.803245"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=CrawfordCounty_RescueDeptCoverage201808.xml', '', '', '', '', '', ","-80.534605,41.471638,-79.594905,41.867843"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=CrawfordCounty_RiversStreams201805.xml', '', '', '', '', '', ","-80.533256,41.471818,-79.602861,41.867196"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=CrawfordCounty_SchoolDistricts201805.xml', '', '', '', '', '', ","-80.534605,41.471638,-79.601629,41.867734"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=CrawfordCounty_Softlines201808.xml', '', '', '', '', '', ","-80.534295,41.459024,-79.603264,41.867183"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=CrawfordCounty_StreetCenterlines201808.xml', '', '', '', '', '', ","-80.534359,41.471643,-79.601916,41.867730"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=CrawfordCounty_USCongressionalDistricts201805.xml', '', '', '', '', '', ","-80.534607,41.471609,-79.601438,41.867732"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=CrawfordCounty_USSenateDistricts201805.xml', '', '', '', '', '', ","-80.534607,41.471609,-79.601438,41.867732"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=CRDA_Permit_Areas202211.xml', '', '', '', '', '', ","-80.473016,39.716554,-76.531589,41.209074"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=Crime_PA2002.xml', '', '', '', '', '', ","-80.520004,39.730000,-74.779999,42.119999"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=Critical_Treasures.xml', '', '', '', '', '', ",",,,"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=CumberlandCounty_Address_Points202211.xml', '', '', '', '', '', ","-77.614479,39.990989,-76.858847,40.329458"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=CumberlandCounty_Public_Parks_Natural_Areas202211.xml', '', '', '', '', '', ","-77.599526,39.941446,-76.859880,40.317288"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=CumberlandCounty_Road_Centerlines202211.xml', '', '', '', '', '', ","-77.623210,39.948802,-76.859002,40.331296"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=CumberlandCounty_TaxParcels202109.xml', '', '', '', '', '', ","-77.617575,39.941430,-76.857560,40.331147"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=CumberlandCounty_Trails202211.xml', '', '', '', '', '', ","-77.569980,39.947679,-76.866940,40.323992"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=DauphinCountyParcels202205.xml', '', '', '', '', '', ","-84.831059,39.120889,-76.532756,40.666731"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=DauphinCountyStreets202205.xml', '', '', '', '', '', ","-77.027051,40.119910,-76.536398,40.658263"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=DC_TreeCanopy_Change_20062011.xml', '', '', '', '', '', ","-77.119840,38.803099,-76.909012,38.995968"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=dcnr_bedrockgeology2001.xml', '', '', '', '', '', ","-80.5196,39.7196,-74.6899,42.2698"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=DCNR_BOF_Bndry_SFM201703.xml', '', '', '', '', '', ","-80.060352,39.679751,-74.728977,41.965510"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=DCNR_BOF_DistOffices201703.xml', '', '', '', '', '', ","-80.617398,39.674273,-74.616786,42.282417"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=DCNR_BOF_StateForests201703.xml', '', '', '', '', '', ","-80.617398,39.674273,-74.616786,42.282417"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=DCNR_BOF_WildandNaturalAreas201703.xml', '', '', '', '', '', ","-80.617398,39.674273,-74.616786,42.282417"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=DCNR_LOC_Export_Dec_31_2012.xml', '', '', '', '', '', ","-78.629088,40.908114,-76.888315,41.837951"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=DCNR_LocalPark201511.xml', '', '', '', '', '', ","-80.561371,39.700861,-74.684610,42.196208"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=DCNR_LocalParkAccess201511.xml', '', '', '', '', '', ","-80.561371,39.700861,-74.684610,42.196208"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=DCNR_OpenFileReports.xml', '', '', '', '', '', ","-76.377640,41.373573,-76.247604,41.501426"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=DCNR_Pads_Export_Dec_31_2012.xml', '', '', '', '', '', ","-78.626496,40.908225,-76.888550,41.824486"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=DCNR_PAKarst.xml', '', '', '', '', '', ","-78.662110,39.721000,-74.970650,41.192530"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=dcnr_pawildsrec.xml', '', '', '', '', '', ","-79.671050,40.799800,-77.041090,42.000620"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=DCNR_Pipeline_Export_Dec_31_2012.xml', '', '', '', '', '', ","-78.628487,41.052768,-76.927272,41.787517"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=DCNR_RailTrails200808.xml', '', '', '', '', '', ","-80.519418,39.649424,-74.776731,42.012886"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=DCNR_RailTrails_wp200808.xml', '', '', '', '', '', ","-80.519124,39.649424,-74.780078,42.012886"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=DCNR_Road_Gas_Export_Dec_31_2012.xml', '', '', '', '', '', ","-78.653972,40.910054,-76.945693,41.830089"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=DCNR_ROS_PA.xml', '', '', '', '', '', ","-81.259402,38.865741,-73.835290,43.080257"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=DCNR_StateParks201703.xml', '', '', '', '', '', ","-80.555686,39.696995,-74.680947,42.191699"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=DCNR_TenMD_Trails_Access_and_Need.xml', '', '', '', '', '', ","-179.14733,18.91172,-66.950019,71.38961"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=DCNR_TenMD_Trails_County_Stats.xml', '', '', '', '', '', ","-81.049022,38.996464,-74.146609,42.634227"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=DCNR_TenMD_Water_Access_and_Need.xml', '', '', '', '', '', ","-81.049022,38.996464,-74.146609,42.634227"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=DCNR_TenMD_Water_County_Stats.xml', '', '', '', '', '', ","-81.049022,38.996464,-74.146609,42.634227"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=DCNR_TenMW_Access_and_Need.xml', '', '', '', '', '', ","-81.049022,38.996464,-74.146609,42.634227"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=DCNR_TenMW_County_Stats.xml', '', '', '', '', '', ","-81.049022,38.996464,-74.146609,42.634227"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=DCNR_TenMW_Municipal_Stats.xml', '', '', '', '', '', ","-81.049022,38.996464,-74.146609,42.634227"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=de02nass.xml', '', '', '', '', '', ","-75.790917,38.448462,-75.048389,39.840534"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=de_mun_polygon.xml', '', '', '', '', '', ","-75.790780,38.448732,-75.048408,39.817721"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=de_stateline_arc.xml', '', '', '', '', '', ","-75.791060,38.448610,-74.999997,39.840829"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=de_wshed_polygon.xml', '', '', '', '', '', ","-75.826589,38.688275,-75.072401,39.869972"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=DEestuary_polygon.xml', '', '', '', '', '', ","-76.406138,38.683375,-74.365511,40.894076"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=delawareflood2005.xml', '', '', '', '', '', ","-75.456408,39.767917,-74.651214,40.749000"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=delawaregap_imagery.xml', '', '', '', '', '', ","-67.353790,56.129196,-65.995867,56.8856312"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=delawareriver.xml', '', '', '', '', '', ","-75.435589,39.793842,-74.684415,42.000678"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=DelawareRiverWatershedInitiative_Soils201502.xml', '', '', '', '', '', ","-76.440848,38.676701,-74.349910,42.463152"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=delawarevalley_landcover1985.xml', '', '', '', '', '', ","-76.151420,39.508766,-74.381169,40.609183"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=delawarevalley_landcover1993.xml', '', '', '', '', '', ","-76.151420,39.508766,-74.381169,40.609183"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=delawarevalley_landcover2000.xml', '', '', '', '', '', ","-76.151420,39.508766,-74.381169,40.609183"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=delgap_landuse.xml', '', '', '', '', '', ","-67.353790,56.129195,-65.995867,56.856312"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=delriv_bridg_arc.xml', '', '', '', '', '', ","-75.563029,39.685259,-74.689914,41.953571"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=dem10meter.xml', '', '', '', '', '', ","-80.5194,39.7199,-74.696,42.2695"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=dem30meter.xml', '', '', '', '', '', ","-80.5194,39.7199,-74.696,42.2695"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=dem30meter_DC.xml', '', '', '', '', '', ","-77,38.75,-76.875,38.875"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=dem30meter_VA.xml', '', '', '', '', '', ","-83.781947,36.412297,-75.134618,39.496607"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=dem30meter_WV.xml', '', '', '', '', '', ","-82.703964,37.160336,-77.657322,40.640064"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=DEPRegions2011_04.xml', '', '', '', '', '', ","-80.617122,39.674106,-74.615333,42.282666"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=DFIRMDepthGrid2020.xml', '', '', '', '', '', ",",,,"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=DFIRMDepthGrid2020.xml', '', '', '', '', '', ",",,,"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=DFIRMDepthGrid2020.xml', '', '', '', '', '', ",",,,"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=DFIRMDepthGrid2020.xml', '', '', '', '', '', ",",,,"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=DFIRMDepthGrid2020.xml', '', '', '', '', '', ",",,,"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=DFIRMDepthGrid2020.xml', '', '', '', '', '', ",",,,"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=DFIRMDepthGrid2020.xml', '', '', '', '', '', ",",,,"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=DFIRMDepthGrid2020.xml', '', '', '', '', '', ",",,,"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=DFIRMDepthGrid2020.xml', '', '', '', '', '', ",",,,"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=DFIRMDepthGrid2020.xml', '', '', '', '', '', ",",,,"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=DFIRMDepthGrid2020.xml', '', '', '', '', '', ",",,,"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=DFIRMDepthGrid2020.xml', '', '', '', '', '', ",",,,"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=DFIRMDepthGrid2020.xml', '', '', '', '', '', ",",,,"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=DFIRMDepthGrid2020.xml', '', '', '', '', '', ",",,,"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=DFIRMDepthGrid2020.xml', '', '', '', '', '', ",",,,"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=DFIRMDepthGrid2020.xml', '', '', '', '', '', ",",,,"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=DFIRMDepthGrid2020.xml', '', '', '', '', '', ",",,,"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=DFIRMDepthGrid2020.xml', '', '', '', '', '', ",",,,"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=DFIRMDepthGrid2020.xml', '', '', '', '', '', ",",,,"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=DFIRMDepthGrid2020.xml', '', '', '', '', '', ",",,,"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=DFIRMDepthGrid2020.xml', '', '', '', '', '', ",",,,"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=DFIRMDepthGrid_Armstrong.xml', '', '', '', '', '', ",",,,"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=DFIRMDepthGrid_Beaver.xml', '', '', '', '', '', ",",,,"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=DFIRMDepthGrid_Bedford.xml', '', '', '', '', '', ",",,,"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=DFIRMDepthGrid_Blair.xml', '', '', '', '', '', ",",,,"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=DFIRMDepthGrid_Butler.xml', '', '', '', '', '', ",",,,"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=DFIRMDepthGrid_Cambria.xml', '', '', '', '', '', ",",,,"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=DFIRMDepthGrid_Cameron.xml', '', '', '', '', '', ",",,,"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=DFIRMDepthGrid_Clarion.xml', '', '', '', '', '', ",",,,"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=DFIRMDepthGrid_Clearfield.xml', '', '', '', '', '', ",",,,"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=DFIRMDepthGrid_Elk.xml', '', '', '', '', '', ",",,,"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=DFIRMDepthGrid_Franklin.xml', '', '', '', '', '', ",",,,"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=DFIRMDepthGrid_Fulton.xml', '', '', '', '', '', ",",,,"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=DFIRMDepthGrid_Greene.xml', '', '', '', '', '', ",",,,"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=DFIRMDepthGrid_Huntingdon.xml', '', '', '', '', '', ",",,,"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=DFIRMDepthGrid_Jefferson.xml', '', '', '', '', '', ",",,,"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=DFIRMDepthGrid_Lawrence.xml', '', '', '', '', '', ",",,,"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=DFIRMDepthGrid_Luzerne.xml', '', '', '', '', '', ",",,,"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=DFIRMDepthGrid_McKean.xml', '', '', '', '', '', ",",,,"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=DFIRMDepthGrid_Mercer.xml', '', '', '', '', '', ",",,,"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=DFIRMDepthGrid_Potter.xml', '', '', '', '', '', ",",,,"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=DFIRMDepthGrid_Tioga.xml', '', '', '', '', '', ",",,,"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=DFIRMDepthGrid_Venango.xml', '', '', '', '', '', ",",,,"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=DFIRMDepthGrid_Warren.xml', '', '', '', '', '', ",",,,"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=DFIRMDepthGrid_Washington.xml', '', '', '', '', '', ",",,,"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=DigitizedMinedAreas2022_11.xml', '', '', '', '', '', ","-80.620713,39.694012,-78.197643,41.305453"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=DMVA_FIG_Lidar2017.xml', '', '', '', '', '', ","-76.755715,40.384648,-76512210,40.493479"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=DMVA_FIG_Lidar2017.xml', '', '', '', '', '', ","-76.755715,40.384648,-76512210,40.493479"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=DMVA_FIG_Lidar2017.xml', '', '', '', '', '', ","-76.755715,40.384648,-76512210,40.493479"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=DMVA_FIG_Lidar2017.xml', '', '', '', '', '', ","-76.755715,40.384648,-76512210,40.493479"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=DMVA_FIG_Lidar2017.xml', '', '', '', '', '', ","-76.755715,40.384648,-76512210,40.493479"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=DOH_Ambulatory_Surgery_Centers202203.xml', '', '', '', '', '', ","-80.451608,39.825192,-74.806435,42.132692"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=DOH_BirthCenters202206.xml', '', '', '', '', '', ","-79.975104,39.937643,-75.065809,40.457440"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=DOH_CommunityMentalHealthCenters202208.xml', '', '', '', '', '', ","-80.019970,39.992890,-75.148320,41.112317"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=DOH_DrugAlcoholTreatmentFacilities202106.xml', '', '', '', '', '', ","-80.517706,39.697623,-74.689950,42.230456"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=DOH_EMSRegionalCouncils202205.xml', '', '', '', '', '', ","-80.52072,39.720265,-74.695296,42.269954"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=DOH_HomeHealthAgencies202208.xml', '', '', '', '', '', ","-80.534359,39.771663,-74.758620,42.230453"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=DOH_Hospices202203.xml', '', '', '', '', '', ","-80.504921,39.771816,-74.763003,42.230453"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=DOH_Hospitals202203.xml', '', '', '', '', '', ","-80.496215,39.751633,-74.867036,42.134027"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=DOH_IntermediateCareFacilities202106.xml', '', '', '', '', '', ","-80.462133,39.857278,-74.799239,42.085877"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=DOH_MedicalMarijuanaDispensaries202206.xml', '', '', '', '', '', ","-80.455737,39.791311,-74.887754,42.110387"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=DOH_NursingHome202206.xml', '', '', '', '', '', ","-80.495879,39.734144,-74.742487,42.173797"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=DOH_PhysicalSpeechTherapyFacilities202203.xml', '', '', '', '', '', ","-80.416481,39.733402,-74.763899,42.150367"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=DOH_PortableXray202208.xml', '', '', '', '', '', ","-80.384538,40.087835,-75.039490,42.116490"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=DOH_PsychiatricResidentialTreatFacilities202208.xml', '', '', '', '', '', ","-80.170675,39.749497,-74.928131,42.161621"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=DOH_RuralHealthClinics202203.xml', '', '', '', '', '', ","-80.375411,39.725445,-75.174970,41.972085"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=DOH_StateHealthCenters202204.xml', '', '', '', '', '', ","-80.348021,39.829922,-74.832600,42.128349"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=doq93_pa.xml', '', '', '', '', '', ","-77,39.875,-76.875,40"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=doq99_pa.xml', '', '', '', '', '', ","-77,39.875,-76.875,40"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=doqq92_DE.xml', '', '', '', '', '', ","-75.790917,38.448462,-75.048389,39.840534"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=doqq97_DE.xml', '', '', '', '', '', ","-75.790917,38.448462,-75.048389,39.840534"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=doqq97_WV.xml', '', '', '', '', '', ","-82.703964,37.160336,-77.657322,40.640064"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=doqq_VA.xml', '', '', '', '', '', ","-83.781947,36.412297,-75.134618,39.496607"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=Draft_DCNR_OG_Ownership_Dec_31_2012.xml', '', '', '', '', '', ","-79.741651,39.721158,-76.788612,41.847213"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=drb_bnd_arc.xml', '', '', '', '', '', ","-76.440848,38.683167,-74.349910,42.463152"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=drb_bnd_polygon.xml', '', '', '', '', '', ","-76.440848,38.683167,-74.349910,42.463152"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=DRB_Catchments.xml', '', '', '', '', '', ",",,,"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=DRB_Catchments.xml', '', '', '', '', '', ",",,,"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=DRB_Catchments.xml', '', '', '', '', '', ",",,,"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=DRB_Catchments.xml', '', '', '', '', '', ",",,,"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=DRB_Catchments.xml', '', '', '', '', '', ",",,,"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=DRB_Catchments.xml', '', '', '', '', '', ",",,,"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=drb_citytown_point.xml', '', '', '', '', '', ","-75.947658,38.769481,-74.689442,42.054011"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=drb_co_clip.xml', '', '', '', '', '', ","-76.440848,38.683167,-74.349910,42.463152"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=drb_co_polygon.xml', '', '', '', '', '', ","-76.793203,38.439415,-73.766230,42.830033"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=drb_huc11_polygon.xml', '', '', '', '', '', ","-76.440700,38.683168,-74.349910,42.463149"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=drb_huc8_polygon.xml', '', '', '', '', '', ","-76.440700,38.683375,-74.349910,42.463149"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=DRB_ProtectedLands202211.xml', '', '', '', '', '', ","-80.519153,39.720034,-74.690583,42.267056"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=DRB_ProtectedLands202211.xml', '', '', '', '', '', ","-80.519153,39.720034,-74.690583,42.267056"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=DRB_ProtectedLands202211.xml', '', '', '', '', '', ","-80.519153,39.720034,-74.690583,42.267056"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=DRB_ProtectedLands202211.xml', '', '', '', '', '', ","-80.519153,39.720034,-74.690583,42.267056"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=DRB_ProtectedLands202211.xml', '', '', '', '', '', ","-80.519153,39.720034,-74.690583,42.267056"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=drb_rds_arc.xml', '', '', '', '', '', ","-76.577877,38.441784,-74.359567,42.476264"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=drb_res_polygon.xml', '', '', '', '', '', ","-76.151704,39.395083,-74.596150,42.159278"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=drb_riv_arc.xml', '', '', '', '', '', ","-76.303534,38.683024,-74.366748,42.455132"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=drb_sb_polygon.xml', '', '', '', '', '', ","-76.440701,38.683168,-74.349910,42.463152"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=DRBC_Catchments_MPG.xml', '', '', '', '', '', ","-75.54199406,41.49185091,-74.599035305,42.398925578"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=DRBC_Catchments_NEW.xml', '', '', '', '', '', ","-75.407925758,40.181111122,-74.428031948,41.217593497"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=drg100k.xml', '', '', '', '', '', ","-79.4938,37.8713,-75.045,39.7425"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=drg100k_DE.xml', '', '', '', '', '', ","-75.790917,38.448462,-75.048389,39.840534"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=drg100k_MD.xml', '', '', '', '', '', ","-79.520215,37.844404,-75.048274,39.807620"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=drg100k_VA.xml', '', '', '', '', '', ","-83.781947,36.412297,-75.134618,39.496607"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=drg100k_WV.xml', '', '', '', '', '', ","-82.703964,37.160336,-77.657322,40.640064"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=drg24k.xml', '', '', '', '', '', ","-80.5194,39.7199,-74.696,42.2695"
