url,Title,JPEG,PDF,Rights,DOI
"'https://rucore.libraries.rutgers.edu/rutgers-lib/28619', '', '', '', '', '', '', ''","1930 Real Estate Plat-Book of the City of Trenton and Borough of Princeton, Mercer County, New Jersey (Plate 22 of 48, Trenton)",https://rucore.libraries.rutgers.edu/rutgers-lib/28619/JPEG/1/play/,https://rucore.libraries.rutgers.edu/rutgers-lib/28619/PDF/1/play/,"This resource may be copyright protected. You may make use of this resource, with proper attribution, for educational and other non-commercial uses only. Contact the contributing organization to obtain permission for reproduction, publication, and commercial use.",https://doi.org/doi:10.7282/T3125SMK
"'https://rucore.libraries.rutgers.edu/rutgers-lib/28625', '', '', '', '', '', '', ''","1930 Real Estate Plat-Book of the City of Trenton and Borough of Princeton, Mercer County, New Jersey (Plate 28 of 48, Trenton)",https://rucore.libraries.rutgers.edu/rutgers-lib/28625/JPEG/1/play/,https://rucore.libraries.rutgers.edu/rutgers-lib/28625/PDF/1/play/,"This resource may be copyright protected. You may make use of this resource, with proper attribution, for educational and other non-commercial uses only. Contact the contributing organization to obtain permission for reproduction, publication, and commercial use.",https://doi.org/doi:10.7282/T3SJ1KJB
"'https://rucore.libraries.rutgers.edu/rutgers-lib/28631', '', '', '', '', '', '', ''","1930 Real Estate Plat-Book of the City of Trenton and Borough of Princeton, Mercer County, New Jersey (Plate 34 of 48, Trenton)",https://rucore.libraries.rutgers.edu/rutgers-lib/28631/JPEG/1/play/,https://rucore.libraries.rutgers.edu/rutgers-lib/28631/PDF/1/play/,"This resource may be copyright protected. You may make use of this resource, with proper attribution, for educational and other non-commercial uses only. Contact the contributing organization to obtain permission for reproduction, publication, and commercial use.",https://doi.org/doi:10.7282/T3K0747T
"'https://rucore.libraries.rutgers.edu/rutgers-lib/28633', '', '', '', '', '', '', ''","1930 Real Estate Plat-Book of the City of Trenton and Borough of Princeton, Mercer County, New Jersey (Plate 36 of 48, Trenton)",https://rucore.libraries.rutgers.edu/rutgers-lib/28633/JPEG/1/play/,https://rucore.libraries.rutgers.edu/rutgers-lib/28633/PDF/1/play/,"This resource may be copyright protected. You may make use of this resource, with proper attribution, for educational and other non-commercial uses only. Contact the contributing organization to obtain permission for reproduction, publication, and commercial use.",https://doi.org/doi:10.7282/T3TH8MM8
"'https://rucore.libraries.rutgers.edu/rutgers-lib/28640', '', '', '', '', '', '', ''","1930 Real Estate Plat-Book of the City of Trenton and Borough of Princeton, Mercer County, New Jersey (Plate 43 of 48, Trenton)",https://rucore.libraries.rutgers.edu/rutgers-lib/28640/JPEG/1/play/,https://rucore.libraries.rutgers.edu/rutgers-lib/28640/PDF/1/play/,"This resource may be copyright protected. You may make use of this resource, with proper attribution, for educational and other non-commercial uses only. Contact the contributing organization to obtain permission for reproduction, publication, and commercial use.",https://doi.org/doi:10.7282/T3QN66QB
"'https://rucore.libraries.rutgers.edu/rutgers-lib/28606', '', '', '', '', '', '', ''","1930 Real Estate Plat-Book of the City of Trenton and Borough of Princeton, Mercer County, New Jersey (Plate 9 of 48, Trenton)",https://rucore.libraries.rutgers.edu/rutgers-lib/28606/JPEG/1/play/,https://rucore.libraries.rutgers.edu/rutgers-lib/28606/PDF/1/play/,"This resource may be copyright protected. You may make use of this resource, with proper attribution, for educational and other non-commercial uses only. Contact the contributing organization to obtain permission for reproduction, publication, and commercial use.",https://doi.org/doi:10.7282/T3B85822
"'https://rucore.libraries.rutgers.edu/rutgers-lib/3619', '', '', '', '', '', '', ''",Map of 10 relocation centers.,https://rucore.libraries.rutgers.edu/rutgers-lib/3619/JPEG/1/play/,https://rucore.libraries.rutgers.edu/rutgers-lib/3619/PDF/1/play/,"This resource may be copyright protected. You may make use of this resource, with proper attribution, for educational and other non-commercial uses only. Contact the contributing organization to obtain permission for reproduction, publication, and commercial use.",https://doi.org/doi:10.7282/T3KP80NT
"'https://rucore.libraries.rutgers.edu/rutgers-lib/28877', '', '', '', '', '', '', ''",Woodbridge Creek Tributary Stream No. 12-1 Traverse S-33 Levels S-32 (sheet 14 of 27),https://rucore.libraries.rutgers.edu/rutgers-lib/28877/JPEG/1/play/,https://rucore.libraries.rutgers.edu/rutgers-lib/28877/PDF/1/play/,"This resource may be copyright protected. You may make use of this resource, with proper attribution, for educational and other non-commercial uses only. Contact the contributing organization to obtain permission for reproduction, publication, and commercial use.",https://doi.org/doi:10.7282/T3BP02PW
"'https://rucore.libraries.rutgers.edu/rutgers-lib/29064', '', '', '', '', '', '', ''",Mile Run Brook Traverse Book S4-S2A Levels Book S1 F2-198  (sheet 5 of 19),https://rucore.libraries.rutgers.edu/rutgers-lib/29064/JPEG/1/play/,https://rucore.libraries.rutgers.edu/rutgers-lib/29064/PDF/1/play/,"This resource may be copyright protected. You may make use of this resource, with proper attribution, for educational and other non-commercial uses only. Contact the contributing organization to obtain permission for reproduction, publication, and commercial use.",https://doi.org/doi:10.7282/T3CJ8DCZ
"'https://rucore.libraries.rutgers.edu/rutgers-lib/29183', '', '', '', '', '', '', ''",1835 map of the City of Trenton and its Vicinity by T. Gordon,https://rucore.libraries.rutgers.edu/rutgers-lib/29183/JPEG/1/play/,https://rucore.libraries.rutgers.edu/rutgers-lib/29183/PDF/1/play/,"This resource may be copyright protected. You may make use of this resource, with proper attribution, for educational and other non-commercial uses only. Contact the contributing organization to obtain permission for reproduction, publication, and commercial use.",https://doi.org/doi:10.7282/T3C53KPC
