url,Title,JPEG,PDF,Rights,DOI
"'https://rucore.libraries.rutgers.edu/rutgers-lib/17713', '', '', '', '', '', '', ''","Rutgers College, New Brunswick, New Jersey",https://rucore.libraries.rutgers.edu/rutgers-lib/17713/JPEG/1/play/,https://rucore.libraries.rutgers.edu/rutgers-lib/17713/PDF/1/play/,"The copyright law of the United States (Title 17, U.S. Code) governs use of this work. You may make use of this resource, with proper attribution, in accordance with U.S. copyright law.",https://doi.org/doi:10.7282/T3G44R47
"'https://rucore.libraries.rutgers.edu/rutgers-lib/17714', '', '', '', '', '', '', ''","Rutgers University, College Avenue, New Brunswick",https://rucore.libraries.rutgers.edu/rutgers-lib/17714/JPEG/1/play/,https://rucore.libraries.rutgers.edu/rutgers-lib/17714/PDF/1/play/,"The copyright law of the United States (Title 17, U.S. Code) governs use of this work. You may make use of this resource, with proper attribution, in accordance with U.S. copyright law.",https://doi.org/doi:10.7282/T3KW5GWP
"'https://rucore.libraries.rutgers.edu/rutgers-lib/20369', '', '', '', '', '', '', ''","Newark Colleges of Rutgers University, New Jersey",https://rucore.libraries.rutgers.edu/rutgers-lib/20369/JPEG/1/play/,https://rucore.libraries.rutgers.edu/rutgers-lib/20369/PDF/1/play/,"The copyright law of the United States (Title 17, U.S. Code) governs use of this work. You may make use of this resource, with proper attribution, in accordance with U.S. copyright law.",https://doi.org/doi:10.7282/T3D50NH4
"'https://rucore.libraries.rutgers.edu/rutgers-lib/20387', '', '', '', '', '', '', ''","Map of Property of Rutgers College; New Brunswick, NJ",https://rucore.libraries.rutgers.edu/rutgers-lib/20387/JPEG/1/play/,https://rucore.libraries.rutgers.edu/rutgers-lib/20387/PDF/1/play/,"This resource may be copyright protected. You may make use of this resource, with proper attribution, for educational and other non-commercial uses only. Contact the contributing organization to obtain permission for reproduction, publication, and commercial use.",https://doi.org/doi:10.7282/T3K074S0
"'https://rucore.libraries.rutgers.edu/rutgers-lib/20381', '', '', '', '', '', '', ''",Map showing locations of living Rutgers College students,https://rucore.libraries.rutgers.edu/rutgers-lib/20381/JPEG/1/play/,https://rucore.libraries.rutgers.edu/rutgers-lib/20381/PDF/1/play/,"This object has been provided by Rutgers University Libraries Special Collections after a copyright, permissions, and usage rights evaluation.  You may make use of the information under a Creative Commons Attribution-NonCommercial 2.5 license (see creativecommons.org/licenses/by-nc/2.5/). If undeclared, you may need to contact the rights holder for permission for further use.",https://doi.org/doi:10.7282/T35M667R
"'https://rucore.libraries.rutgers.edu/rutgers-lib/20337', '', '', '', '', '', '', ''","Rutgers Alumni Monthly; New Brunswick, New Jersey",https://rucore.libraries.rutgers.edu/rutgers-lib/20337/JPEG/1/play/,https://rucore.libraries.rutgers.edu/rutgers-lib/20337/PDF/1/play/,"This object has been provided by Rutgers University Libraries Special Collections after a copyright, permissions, and usage rights evaluation.  You may make use of the information under a Creative Commons Attribution-NonCommercial 2.5 license (see creativecommons.org/licenses/by-nc/2.5/). If undeclared, you may need to contact the rights holder for permission for further use.",https://doi.org/doi:10.7282/T3F76D34
"'https://rucore.libraries.rutgers.edu/rutgers-lib/20229', '', '', '', '', '', '', ''","Rutgers University, New Jersey, 1946 football schedule",https://rucore.libraries.rutgers.edu/rutgers-lib/20229/JPEG/1/play/,https://rucore.libraries.rutgers.edu/rutgers-lib/20229/PDF/1/play/,"This object has been provided by Rutgers University Libraries Special Collections after a copyright, permissions, and usage rights evaluation.  You may make use of the information under a Creative Commons Attribution-NonCommercial 2.5 license (see creativecommons.org/licenses/by-nc/2.5/). If undeclared, you may need to contact the rights holder for permission for further use.",https://doi.org/doi:10.7282/T34M952X
"'https://rucore.libraries.rutgers.edu/rutgers-lib/20217', '', '', '', '', '', '', ''","Rutgers College Avenue Campus, New Jersey 1930",https://rucore.libraries.rutgers.edu/rutgers-lib/20217/JPEG/1/play/,https://rucore.libraries.rutgers.edu/rutgers-lib/20217/PDF/1/play/,"This object has been provided by Rutgers University Libraries Special Collections after a copyright, permissions, and usage rights evaluation.  You may make use of the information under a Creative Commons Attribution-NonCommercial 2.5 license (see creativecommons.org/licenses/by-nc/2.5/). If undeclared, you may need to contact the rights holder for permission for further use.",https://doi.org/doi:10.7282/T3QF8TDF
"'https://rucore.libraries.rutgers.edu/rutgers-lib/20224', '', '', '', '', '', '', ''","Rutgers College, New Jersey, campuses 1979 verso",https://rucore.libraries.rutgers.edu/rutgers-lib/20224/JPEG/1/play/,https://rucore.libraries.rutgers.edu/rutgers-lib/20224/PDF/1/play/,"This object has been provided by Rutgers University Libraries Special Collections after a copyright, permissions, and usage rights evaluation.  You may make use of the information under a Creative Commons Attribution-NonCommercial 2.5 license (see creativecommons.org/licenses/by-nc/2.5/). If undeclared, you may need to contact the rights holder for permission for further use.",https://doi.org/doi:10.7282/T3GX4C35
"'https://rucore.libraries.rutgers.edu/rutgers-lib/16259', '', '', '', '', '', '', ''",Rutgers Unversity College Avenue Campus map 1973,https://rucore.libraries.rutgers.edu/rutgers-lib/16259/JPEG/1/play/,https://rucore.libraries.rutgers.edu/rutgers-lib/16259/PDF/1/play/,"This object has been provided by Rutgers University Libraries Special Collections after a copyright, permissions, and usage rights evaluation.  You may make use of the information under a Creative Commons Attribution-NonCommercial 2.5 license (see creativecommons.org/licenses/by-nc/2.5/). If undeclared, you may need to contact the rights holder for permission for further use.",https://doi.org/doi:10.7282/T3GX4CG3
