portalName,total,new_items,deleted_items
04b-24013,29,0,0
04b-24031,66,1,0
07d-02,85,85,0
07c-03,63,1,0
05b-27163,60,0,0
05b-27167,11,0,0
11b-39153,36,0,0
11b-39009,26,0,3
05b-27027,21,0,0
05b-27121,40,0,0
09c-01,66,1,0
12b-17143,102,0,0
08b-42091,32,0,18
11b-39049,44,0,1
03b-19113,143,0,0
08b-42027,89,0,0
08c-02,240,1,2
02a-02,8,0,0
04b-24025,108,0,0
06f-01,47,0,0
08b-42043,30,0,0
04b-24005,141,1,1
12b-17043,61,0,0
04b-24009,10,0,0
04f-01,126,0,0
02b-17113,16,0,0
05b-27053,44,0,0
01c-02,1054,553,0
11b-39093,202,0,0
06a-01,412,2,9
05b-27057,5,0,0
05b-27137,8,0,0
05b-27017,0,0,3
01b-18163,56,0,0
12b-17097,1475,0,0
04c-02,35,11,11
05b-27011,14,13,0
04c-01,1257,14,0
06b-26125,276,4,1
11b-39035,36,0,0
05b-27119,15,0,0
05b-27019,90,0,0
08b-42003,66,0,0
02c-01,42,0,0
05c-01,150,0,0
03a-02,1312,2,17
08b-42039,73,0,1
07b-26161,8,0,0
04a-01,1245,33,2
11a-01,1118,40,58
