ID,document[b1g_dateRetired_s],document[b1g_status_s],document[publication_state]
iowadnr::historic-well-water-quality-iowa-1905-2019,2022-03-27,['Inactive'],['unpublished']
AnneArundelMD::fire-stations-2,2022-03-27,['Inactive'],['unpublished']
iowadnr::historic-well-water-quality-iowa-1905-2019,2022-03-27,['Inactive'],['unpublished']
linncounty-gis::2020-imagery-township-84-range-7,2022-03-27,['Inactive'],['unpublished']
maryland::maryland-transit-baltimore-metro-subway-lines,2022-03-27,['Inactive'],['unpublished']
DCGIS::roads-2010,2022-03-27,['Inactive'],['unpublished']
bniajfi::percentage-of-students-enrolled-in-special-education-programs,2022-03-27,['Inactive'],['unpublished']
midnr::mi-hunt-landcover-types,2022-03-27,['Inactive'],['unpublished']
montcopa::montco-trail-challenge-2021-1,2022-03-27,['Inactive'],['unpublished']
CARPC::android-icon-36x36,2022-03-27,['Inactive'],['unpublished']
abb7f64935524ef7ba8c5c4d8d9abf19_0,2022-03-27,['Inactive'],['unpublished']
MCLIO::2015-aerial-photo,2022-03-27,['Inactive'],['unpublished']
OCGIS::2021-countywide-tax-real-estate-data,2022-03-27,['Inactive'],['unpublished']
WaukeshaCounty::waukesha-county-maps-and-apps-gallery,2022-03-27,['Inactive'],['unpublished']
geohio::mercer-rail-crossingslbrs,2022-03-27,['Inactive'],['unpublished']
starkcountyohio::tax-districts,2022-03-27,['Inactive'],['unpublished']
summitgis::taxparcels-public,2022-03-27,['Inactive'],['unpublished']
DuPage::wnv-bird-deaths-2020,2022-03-27,['Inactive'],['unpublished']
esri::world-demographics,2022-03-27,['Inactive'],['unpublished']
