portalName,total,new_items,deleted_items
06a-01,423,0,0
05b-27163,61,0,0
05b-27167,19,9,1
01b-18163,64,0,0
11b-39153,36,0,0
08b-42133,56,1,0
04b-24031,67,1,1
02c-01,42,0,0
01c-02,1207,0,0
02b-17113,17,0,0
02a-02,8,0,0
04b-24013,30,0,0
08b-42003,62,1,2
11b-39009,26,0,0
05b-27011,14,0,0
04b-24009,10,0,0
05b-27017,0,0,0
05b-27019,94,2,2
08b-42027,88,5,5
04c-02,35,0,0
12b-17043,62,0,0
11b-39049,44,0,0
11a-01,1105,5,4
04b-24025,109,0,0
05b-27053,44,0,0
12b-17097,1482,5,1
03b-19113,143,0,0
05c-01,152,4,0
06b-26125,273,1,0
08c-02,248,0,0
05b-27119,12,0,0
05b-27121,0,0,0
05b-27137,8,0,0
99-1000,769,9,12
11b-39151,96,4,3
04b-24005,143,10,11
08b-42029,40,0,0
05b-27027,21,0,0
08b-42039,105,22,0
11b-39035,32,0,0
08b-42043,30,0,0
04f-01,85,0,0
05b-27057,0,0,0
11b-39093,214,0,0
04a-01,1389,1,0
08b-42091,37,1,7
04c-01,1265,9,3
12b-17143,102,0,0
05b-27123,39,0,0
05b-27139,65,0,0
06f-01,47,0,0
09c-01,86,2,1
07d-02,90,0,0
07b-26161,8,0,0
04b-24021,114,0,0
07c-01,143,3,1
03a-04,133,0,0
03c-02,167,0,0
12b-17031,210,0,0
03a-02,1089,56,86
