portalName,total,new_items,deleted_items
04b-24013,25,0,0
04b-24031,56,0,0
05b-27163,60,2,0
05b-27167,10,0,0
11b-39151,73,4,4
11b-39153,55,0,0
05b-27143,8,0,0
11b-39009,19,0,0
05b-27123,39,0,0
05b-27027,11,0,0
05b-27121,23,8,3
09c-01,61,0,1
05b-27139,8,0,0
12b-17143,79,0,0
08b-42091,13,2,0
11b-39049,41,0,0
03b-19113,129,0,0
08b-42027,85,0,0
08c-02,230,0,0
02a-02,8,0,0
04b-24025,99,0,0
06f-01,41,0,0
08b-42043,28,0,0
04b-24005,164,0,7
12b-17043,98,0,0
04b-24009,10,0,0
04f-01,85,2,0
02b-17113,15,0,0
05b-27053,46,0,0
01c-02,481,18,0
11b-39093,186,1,0
06a-01,321,28,1
05b-27057,5,0,0
05b-27137,61,0,2
05b-27017,3,0,0
01b-18163,57,0,0
12b-17097,984,402,402
04c-02,31,5,16
05b-27011,3,0,0
04c-01,1000,157,157
06b-26125,203,3,0
11b-39035,45,0,0
05b-27119,12,0,0
05b-27019,58,0,0
08b-42003,62,0,0
02c-01,42,0,0
05c-01,128,5,0
03a-02,203,6,4
08b-42039,67,0,0
04a-01,940,5,1
08b-03,44,0,0
11a-01,999,5,5
