portalName,total,new_items,deleted_items
06a-01,352,18,19
05b-27167,53,0,0
01b-18163,60,0,0
11b-39153,23,0,0
08b-42133,56,0,0
04b-24031,72,5,0
01c-02,1205,0,0
02b-17113,17,0,0
04b-24013,32,1,1
08b-42003,56,1,0
11b-39009,17,0,6
05b-27011,15,0,0
05b-27017,0,0,0
05b-27019,89,0,0
08b-42027,86,1,2
04c-02,74,10,6
12b-17043,58,0,0
11b-39049,46,0,0
11a-01,1038,11,4
04b-24025,91,0,0
05b-27053,46,0,0
12b-17097,1456,0,0
03b-19113,102,0,0
05c-01,159,7,2
06b-26125,284,0,0
08c-02,273,1,0
05b-27119,75,0,0
05b-27121,58,0,0
99-1000,691,1,13
11b-39151,96,3,3
04b-24005,138,0,0
08b-42029,48,0,0
05b-27027,21,0,0
08b-42039,110,0,0
11b-39035,32,0,0
08b-42043,29,0,1
04f-01,87,1,0
05b-27057,0,0,0
11b-39093,221,0,0
04a-01,1231,5,1
08b-42091,38,1,2
04c-01,1415,36,3
12b-17143,128,0,2
05b-27123,31,0,0
05b-27139,61,0,0
06f-01,46,0,0
09c-01,87,0,0
07d-02,63,2,4
07b-26161,12,1,0
04b-24021,110,0,0
07c-01,147,2,1
03a-04,252,1,0
03c-02,176,2,3
12b-17031,197,0,7
03a-02,1064,8,1
13a-01,149,8,5
12d-03,34,0,0
99-1100,216,11,0
10b-55003,9,9,0
10c-03,161,161,0
10c-04,35,35,0
10b-55021,81,81,0
10b-55025,56,0,0
10b-55025-01,52,52,0
10b-55035-01,38,38,0
10b-55079,70,70,0
10b-55087,99,99,0
10b-55093,4,4,0
10b-55101,107,107,0
10b-55111,77,77,0
10b-55109,6,6,0
10b-55125-01,32,32,0
10b-55133,173,173,0
10b-55135,63,63,0
10b-55137,12,12,0
10b-55141,19,19,0
