portalName,total,new_items,deleted_items
03a-03,237,8,1
04b-24003,168,1,0
01b-18163,56,0,0
01c-02,867,0,1
02b-17113,20,0,0
03a-02,1031,0,0
03a-04,229,8,1
03b-19113,131,9,1
04a-01,1499,6,1
04b-24005,204,0,0
04b-24013,34,0,0
04b-24021,110,0,0
04b-24025,91,0,0
04c-01,1543,59,1
04c-02,666,13,1
04f-01,101,1,0
05b-27011,15,0,0
05b-27019,82,1,0
05b-27027,19,0,0
05b-27053,28,0,1
05b-27119,70,0,0
05b-27121,28,0,1
05b-27123,30,0,1
05b-27137,8,0,0
05b-27167,48,0,0
05c-01,191,7,1
06a-01,426,0,0
06b-26125,323,0,0
06f-01,39,0,0
07b-26161,12,0,0
07c-01,159,1,0
07d-02,67,0,0
08b-42003,65,0,0
08b-42027,86,0,0
08b-42029,52,0,0
08b-42039,159,3,0
08b-42043,32,0,0
08b-42091,83,0,1
08b-42133,53,1,1
08c-02,341,5,0
09c-01,109,15,0
10b-55003,9,0,0
10b-55021,81,0,0
10b-55025,55,0,0
10b-55025-01,51,0,0
10b-55035-01,11,0,1
10b-55079,70,20,0
10b-55087,115,0,0
10b-55059,38,38,0
10b-55093,5,0,0
10b-55101,106,0,0
10b-55109,6,0,0
10b-55111,79,0,0
10b-55125-01,33,0,0
10b-55133,146,9,0
10b-55135,61,0,0
10b-55137,12,0,0
10b-55141,17,1,0
10c-03,165,3,1
10c-04,24,0,0
11a-01,972,9,1
11b-39009,6,0,1
11b-39035,0,0,1
11b-39049,40,0,0
11b-39093,222,0,0
11b-39151,115,6,1
11b-39153,14,0,0
12b-17031,225,1,1
12b-17043,85,2,0
12b-17097,1473,38,0
12b-17143,126,0,0
12d-03,34,0,0
13a-01,191,13,0
99-1000,592,0,0
99-1100,367,7,0
