portalName,total,new_items,deleted_items
06a-01,373,4,2
05b-27167,0,0,0
01b-18163,59,0,0
11b-39153,23,2,6
08b-42133,56,0,0
04b-24031,66,0,0
01c-02,1201,0,2
02b-17113,17,0,0
04b-24013,32,2,0
08b-42003,55,0,10
11b-39009,25,0,0
05b-27011,15,0,0
05b-27017,0,0,0
05b-27019,89,0,0
08b-42027,87,2,1
04c-02,27,3,3
12b-17043,54,0,0
11b-39049,47,0,0
11a-01,1034,3,3
04b-24025,91,1,2
05b-27053,46,0,0
12b-17097,1453,1,0
03b-19113,106,0,0
05c-01,153,0,0
06b-26125,284,0,0
08c-02,271,1,1
05b-27121,58,0,0
99-1000,703,3,8
11b-39151,97,3,3
04b-24005,135,0,2
05b-27027,21,0,0
08b-42039,95,6,0
11b-39035,32,0,0
08b-42043,30,0,0
04f-01,84,0,1
05b-27057,0,0,0
11b-39093,221,1,0
04a-01,1216,2,3
08b-42091,39,0,0
04c-01,1365,10,2
12b-17143,130,3,1
05b-27123,31,0,0
05b-27139,61,0,0
06f-01,42,0,2
09c-01,85,2,1
07d-02,66,0,2
07b-26161,10,0,0
04b-24021,110,0,0
07c-01,146,2,4
03a-04,250,82,1
03c-02,177,0,0
12b-17031,203,0,0
03a-02,1061,1,1
13a-01,148,6,9
12d-03,34,0,0
99-1100,199,3,0
05b-27119,75,0,0
08b-42029,47,0,1
