identifier,landingPage,portalName
270542f5ffa943f3bc03bfa776a6f880_0,http://public-iowadot.opendata.arcgis.com/datasets/270542f5ffa943f3bc03bfa776a6f880_0,03a-02
64b7b23699a04043abdf3b648d742842_0,http://public-iowadot.opendata.arcgis.com/datasets/64b7b23699a04043abdf3b648d742842_0,03a-02
fb2b30503f5546c091662cec06c8c312_1,http://public-iowadot.opendata.arcgis.com/datasets/fb2b30503f5546c091662cec06c8c312_1,03a-02
a812a6b8b4db4793af20d28a2baf11c5_2,http://public-iowadot.opendata.arcgis.com/datasets/a812a6b8b4db4793af20d28a2baf11c5_2,03a-02
91f2cb66657e4678b17eb5dcfbb26188_1,http://data.imap.maryland.gov/datasets/91f2cb66657e4678b17eb5dcfbb26188_1,04a-01
288a8c4db1b641b28748dbad958b5272_23,http://opendata.dc.gov/datasets/288a8c4db1b641b28748dbad958b5272_23,04c-01
d0c39bcc92cf4c128d373cde385ca812_2,http://opendata.dc.gov/datasets/d0c39bcc92cf4c128d373cde385ca812_2,04c-01
b79c197717644fcc8836a3ea1c25aeab_11,http://opendata.dc.gov/datasets/b79c197717644fcc8836a3ea1c25aeab_11,04c-01
5dbf9debd0584b88b50c32379b28b88d_75,http://opendata.dc.gov/datasets/5dbf9debd0584b88b50c32379b28b88d_75,04c-01
fc8aab4c929740e1b9f0dec7215fc676_89,http://opendata.dc.gov/datasets/fc8aab4c929740e1b9f0dec7215fc676_89,04c-01
6985115dd112477f955517df6c552ca4_10,http://opendata.dc.gov/datasets/6985115dd112477f955517df6c552ca4_10,04c-01
fd85554cf14440fea797ea14ecb85e8f_13,http://opendata.dc.gov/datasets/fd85554cf14440fea797ea14ecb85e8f_13,04c-01
80216437707b4135963eeb95047caeac_1,http://opendata.dc.gov/datasets/80216437707b4135963eeb95047caeac_1,04c-01
5564f65828844695b3e970ba3aa22577_27,http://opendata.dc.gov/datasets/5564f65828844695b3e970ba3aa22577_27,04c-01
eebd0df4df87497a8ed18f47fba2dfcc_43,http://opendata.dc.gov/datasets/eebd0df4df87497a8ed18f47fba2dfcc_43,04c-01
294e062cdf2c48d5b9cbc374d9709bc0_2,http://opendata.dc.gov/datasets/294e062cdf2c48d5b9cbc374d9709bc0_2,04c-01
79942bac8860405085408aad3bf77790_7,http://opendata.dc.gov/datasets/79942bac8860405085408aad3bf77790_7,04c-01
d17165adac694dce9cc2469cea415dac_19,http://opendata.dc.gov/datasets/d17165adac694dce9cc2469cea415dac_19,04c-01
ab5661e1a4d74a338ee51cd9533ac787_50,http://opendata.dc.gov/datasets/ab5661e1a4d74a338ee51cd9533ac787_50,04c-01
0d3d054470f744888b467308e53ef684_16,http://opendata.dc.gov/datasets/0d3d054470f744888b467308e53ef684_16,04c-01
a6f76663621548e1a039798784b64f10_0,http://opendata.dc.gov/datasets/a6f76663621548e1a039798784b64f10_0,04c-01
ff2e0d5bcdda4c7d93dd36051cd79521_24,http://opendata.dc.gov/datasets/ff2e0d5bcdda4c7d93dd36051cd79521_24,04c-01
3c8718e7d24c46a4ac0522b402ebc8a5_9,http://opendata.dc.gov/datasets/3c8718e7d24c46a4ac0522b402ebc8a5_9,04c-01
3e6ceab250624a5686d07cca42a6d801_56,http://opendata.dc.gov/datasets/3e6ceab250624a5686d07cca42a6d801_56,04c-01
71e02ad6f99842e7ad1a7845ec97f243_14,http://opendata.dc.gov/datasets/71e02ad6f99842e7ad1a7845ec97f243_14,04c-01
f1c50ea5db704ed39f753f16dff964af_6,http://opendata.dc.gov/datasets/f1c50ea5db704ed39f753f16dff964af_6,04c-01
bfe6977cfd574c2b894cd67cf6a787c3_2,http://opendata.dc.gov/datasets/bfe6977cfd574c2b894cd67cf6a787c3_2,04c-01
edfec5a1434848dc9faab79dd55c1e64_7,http://opendata.dc.gov/datasets/edfec5a1434848dc9faab79dd55c1e64_7,04c-01
dc747eff01ba42c99dec8665bad55ae5_1,http://opendata.dc.gov/datasets/dc747eff01ba42c99dec8665bad55ae5_1,04c-01
abbccdba911a4610a60aab68a2a77328_5,http://opendata.dc.gov/datasets/abbccdba911a4610a60aab68a2a77328_5,04c-01
02923e4697804406b9ee3268a160db99_11,http://opendata.dc.gov/datasets/02923e4697804406b9ee3268a160db99_11,04c-01
c0c9acb118df4819b4996d7e2f70c37d_1,http://opendata.dc.gov/datasets/c0c9acb118df4819b4996d7e2f70c37d_1,04c-01
71432cce5f3d40e799245d781ab8c00d_42,http://opendata.dc.gov/datasets/71432cce5f3d40e799245d781ab8c00d_42,04c-01
f2c27eace3c147f0826beee5cda14874_17,http://opendata.dc.gov/datasets/f2c27eace3c147f0826beee5cda14874_17,04c-01
aa56386bddd04266a7df3fd83e6f0250_30,http://opendata.dc.gov/datasets/aa56386bddd04266a7df3fd83e6f0250_30,04c-01
aba010cff7fe4d4cb369a54b56cd7544_45,http://opendata.dc.gov/datasets/aba010cff7fe4d4cb369a54b56cd7544_45,04c-01
ccca0411369f47a1a19cab79a4323dd6_68,http://opendata.dc.gov/datasets/ccca0411369f47a1a19cab79a4323dd6_68,04c-01
91d7eb9416964c1fb3dc94ceeae6b760_7,http://opendata.dc.gov/datasets/91d7eb9416964c1fb3dc94ceeae6b760_7,04c-01
