portalName,total,new_items,deleted_items
06a-01,365,38,5
05b-27167,53,1,0
01b-18163,56,0,3
11b-39153,15,0,3
08b-42133,55,0,0
04b-24031,72,0,0
01c-02,1161,0,0
02b-17113,42,0,0
04b-24013,31,0,0
08b-42003,58,1,0
11b-39009,16,0,0
05b-27011,15,0,0
05b-27017,0,0,0
05b-27019,79,0,0
08b-42027,84,3,4
04c-02,511,90,5
12b-17043,86,28,0
11b-39049,46,0,0
11a-01,1013,20,0
04b-24025,87,4,0
05b-27053,46,1,1
12b-17097,1338,4,0
03b-19113,95,0,1
05c-01,161,2,0
06b-26125,315,4,0
08c-02,282,12,1
05b-27119,81,7,0
05b-27121,61,10,4
99-1000,652,4,3
11b-39151,90,5,0
04b-24005,152,2,0
08b-42029,45,4,2
05b-27027,20,0,1
08b-42039,148,17,1
11b-39035,31,0,0
08b-42043,28,0,0
04f-01,86,1,0
05b-27057,0,0,0
11b-39093,210,0,0
04a-01,1424,12,7
08b-42091,76,10,1
04c-01,1491,16,1
12b-17143,122,0,0
05b-27123,31,0,0
05b-27139,61,0,0
06f-01,43,1,4
09c-01,92,0,0
07d-02,65,0,0
07b-26161,12,1,0
04b-24021,109,0,0
07c-01,152,4,0
03a-04,213,6,5
03c-02,181,1,0
12b-17031,199,2,0
03a-02,1051,1,4
13a-01,138,15,8
12d-03,34,0,0
99-1100,266,29,0
10b-55003,9,0,0
10c-03,158,0,0
10c-04,33,0,0
10b-55021,80,3,0
10b-55025,58,0,0
10b-55025-01,52,0,0
10b-55035-01,38,0,0
10b-55079,55,3,18
10b-55087,91,15,15
10b-55093,5,1,0
10b-55101,107,0,0
10b-55111,77,1,0
10b-55109,6,0,0
10b-55125-01,33,1,0
10b-55133,176,6,3
10b-55135,61,0,0
10b-55137,12,0,0
10b-55141,16,4,4
