ID,document[b1g_dateRetired_s],document[b1g_status_s],document[publication_state]
item.html?id=f057aa9e9b2541a3b264d03173726f78&sublayer=40,2022-10-14,Inactive,['unpublished']
item.html?id=eaaa2fdcef9a41b89abf534a48f87ec9,2022-10-14,Inactive,['unpublished']
item.html?id=4aa48f861fcd4ff6bfcb4b8ee523f84b&sublayer=17,2022-10-14,Inactive,['unpublished']
item.html?id=49e8eafac43b4ae0946e1621149f7b67&sublayer=17,2022-10-14,Inactive,['unpublished']
item.html?id=45eb6e8b5e8446848b44f1f9307ec5f6&sublayer=10,2022-10-14,Inactive,['unpublished']
item.html?id=bd51c0c373d844fa9654a7a02da23d6f&sublayer=0,2022-10-14,Inactive,['unpublished']
item.html?id=4d999d218708458397b6fe6587fd2372,2022-10-14,Inactive,['unpublished']
item.html?id=cd17ed3289ed4abaacc3fb2699583ef3&sublayer=0,2022-10-14,Inactive,['unpublished']
item.html?id=f7eb9ab5dce14f11afa4eab7a8913bfd&sublayer=13,2022-10-14,Inactive,['unpublished']
item.html?id=41fd02a0c6bf45d49934d23c5f4e4cde&sublayer=0,2022-10-14,Inactive,['unpublished']
item.html?id=e96c2d9e3a83456487057615a8fae615&sublayer=1,2022-10-14,Inactive,['unpublished']
item.html?id=d62f75202cae42259c6dfd208c6ed76c&sublayer=0,2022-10-14,Inactive,['unpublished']
item.html?id=2f4e403262934b8faaa36c5aeeebf0e6&sublayer=28,2022-10-14,Inactive,['unpublished']
item.html?id=7994a3dbdc784e4db05197ba063c6277&sublayer=0,2022-10-14,Inactive,['unpublished']
item.html?id=4bada947cd6d49b8af28b448784d0a35,2022-10-14,Inactive,['unpublished']
item.html?id=10df2279f9684e4a9f6a7f08febac2a9&sublayer=4,2022-10-14,Inactive,['unpublished']
item.html?id=be65bed63ac24a6d92404e6db1d069c1,2022-10-14,Inactive,['unpublished']
item.html?id=f5e545d1808e41bc9a350118bf6f86a9&sublayer=0,2022-10-14,Inactive,['unpublished']
item.html?id=628419557d354932b3f9fbc282adab4a&sublayer=0,2022-10-14,Inactive,['unpublished']
item.html?id=8df10a5058eb49a3854384883af8cddb,2022-10-14,Inactive,['unpublished']
item.html?id=a48de06ea51e490fa32ce1f35f51ae33,2022-10-14,Inactive,['unpublished']
item.html?id=ca6a076649c74426b50cc09b55bd9401,2022-10-14,Inactive,['unpublished']
item.html?id=2b9ed732003444598490b21b8c95628c,2022-10-14,Inactive,['unpublished']
item.html?id=cb9c65ce9ea34cc09b3e27a2f83c9077,2022-10-14,Inactive,['unpublished']
item.html?id=1a8bd5a83de24d65b18d041519dc7b6a&sublayer=0,2022-10-14,Inactive,['unpublished']
item.html?id=4b387724967c46afb396a890f7246b6b,2022-10-14,Inactive,['unpublished']
item.html?id=a95d21a0d6bd4d42b96b88acdd910b49,2022-10-14,Inactive,['unpublished']
item.html?id=b9425094e57e4f279f10b47b655a3368&sublayer=2,2022-10-14,Inactive,['unpublished']
item.html?id=e48d93849be84a7cb4b58431bb0b4ef2&sublayer=126,2022-10-14,Inactive,['unpublished']
item.html?id=7d2a52b0b97d4a058e38d66a8c1b65d4,2022-10-14,Inactive,['unpublished']
item.html?id=18e208bf017f469e8fce35b433800007,2022-10-14,Inactive,['unpublished']
item.html?id=b56420c8e6f345579e49f7711d356f24,2022-10-14,Inactive,['unpublished']
item.html?id=928906e23c3b45269a256f0aac2839af,2022-10-14,Inactive,['unpublished']
item.html?id=8e945106b67341c8bf4a51d0974e6617,2022-10-14,Inactive,['unpublished']
item.html?id=fa1c17ee2e144617aec5ef74edbe98d7&sublayer=0,2022-10-14,Inactive,['unpublished']
item.html?id=56bb3556bc5542cfa217348b09c80efb,2022-10-14,Inactive,['unpublished']
item.html?id=900ddaf2707f44dfa943bba4a2db2b41,2022-10-14,Inactive,['unpublished']
