portalName,total,new_items,deleted_items
04b-24013,29,29,0
04b-24031,66,66,0
05b-27163,60,60,0
05b-27167,11,11,0
11b-39153,36,36,0
11b-39009,26,26,0
05b-27027,21,21,0
05b-27121,40,40,0
09c-01,66,66,0
12b-17143,102,102,0
08b-42091,32,32,0
11b-39049,44,44,0
03b-19113,143,143,0
08b-42027,89,89,0
08c-02,242,242,0
02a-02,8,8,0
04b-24025,108,108,0
06f-01,47,47,0
08b-42043,30,30,0
04b-24005,141,141,0
12b-17043,61,61,0
04b-24009,10,10,0
04f-01,126,126,0
02b-17113,16,16,0
05b-27053,44,44,0
01c-02,1054,1054,0
11b-39093,202,202,0
06a-01,413,413,0
05b-27057,5,5,0
05b-27137,8,8,0
05b-27017,0,0,0
01b-18163,56,56,0
12b-17097,1475,1475,0
04c-02,35,35,0
05b-27011,14,14,0
04c-01,1258,1258,0
06b-26125,276,276,0
11b-39035,36,36,0
05b-27119,15,15,0
05b-27019,90,90,0
08b-42003,66,66,0
02c-01,42,42,0
05c-01,150,150,0
03a-02,1312,1312,0
08b-42039,73,73,0
04a-01,1245,1245,0
11a-01,1118,1118,0
