portalName,total,new_items,deleted_items
01b-18163,56,56,0
01c-02,1172,1172,0
02b-17113,42,42,0
03a-02,1049,1049,0
03a-04,213,213,0
03b-19113,95,95,0
03c-02,181,181,0
04a-01,1434,1434,0
04b-24005,156,156,0
04b-24013,31,31,0
04b-24021,109,109,0
04b-24025,87,87,0
04b-24031,72,72,0
04c-01,1502,1502,0
04c-02,575,575,0
04f-01,90,90,0
05b-27011,15,15,0
05b-27017,0,0,0
05b-27019,79,79,0
05b-27027,20,20,0
05b-27053,46,46,0
05b-27057,0,0,0
05b-27119,81,81,0
05b-27121,58,58,0
05b-27123,31,31,0
05b-27137,8,8,0
05b-27139,61,61,0
05b-27167,52,52,0
05c-01,161,161,0
06a-01,362,362,0
06b-26125,315,315,0
06f-01,43,43,0
07b-26161,12,12,0
07c-01,154,154,0
07d-02,65,65,0
08b-42003,58,58,0
08b-42027,84,84,0
08b-42029,46,46,0
08b-42039,167,167,0
08b-42043,28,28,0
08b-42091,76,76,0
08b-42133,55,55,0
08c-02,284,284,0
09c-01,92,92,0
10b-55003,9,9,0
10b-55021,81,81,0
10b-55025,58,58,0
10b-55025-01,53,53,0
10b-55035-01,38,38,0
10b-55079,52,52,0
10b-55087,91,91,0
10b-55093,5,5,0
10b-55101,107,107,0
10b-55109,6,6,0
10b-55111,77,77,0
10b-55125-01,33,33,0
10b-55133,176,176,0
10b-55135,61,61,0
10b-55137,12,12,0
10b-55141,16,16,0
10c-03,158,158,0
10c-04,34,34,0
11a-01,1015,1015,0
11b-39009,16,16,0
11b-39035,31,31,0
11b-39049,46,46,0
11b-39093,210,210,0
11b-39151,91,91,0
11b-39153,14,14,0
12b-17031,199,199,0
12b-17043,81,81,0
12b-17097,1338,1338,0
12b-17143,122,122,0
12d-03,34,34,0
13a-01,138,138,0
99-1000,652,652,0
99-1100,268,268,0
