portalName,total,new_items,deleted_items
06a-01,405,405,0
05b-27163,61,61,0
05b-27167,19,19,0
01b-18163,59,59,0
11b-39153,36,36,0
08b-42133,56,56,0
04b-24031,64,64,0
02c-01,42,42,0
01c-02,1203,1203,0
02b-17113,17,17,0
02a-02,8,8,0
04b-24013,30,30,0
08b-42003,61,61,0
11b-39009,24,24,0
05b-27011,15,15,0
04b-24009,10,10,0
05b-27017,0,0,0
05b-27019,89,89,0
08b-42027,86,86,0
04c-02,35,35,0
12b-17043,52,52,0
11b-39049,43,43,0
11a-01,1046,1046,0
04b-24025,92,92,0
05b-27053,44,44,0
12b-17097,1447,1447,0
03b-19113,99,99,0
05c-01,153,153,0
06b-26125,271,271,0
08c-02,266,266,0
05b-27119,12,12,0
05b-27121,58,58,0
05b-27137,8,8,0
99-1000,719,719,0
11b-39151,97,97,0
04b-24005,138,138,0
08b-42029,40,40,0
05b-27027,21,21,0
08b-42039,88,88,0
11b-39035,32,32,0
08b-42043,30,30,0
04f-01,85,85,0
05b-27057,0,0,0
11b-39093,220,220,0
04a-01,1194,1194,0
08b-42091,40,40,0
04c-01,1324,1324,0
12b-17143,125,125,0
05b-27123,39,39,0
05b-27139,62,62,0
06f-01,43,43,0
09c-01,83,83,0
07d-02,67,67,0
07b-26161,9,9,0
04b-24021,110,110,0
07c-01,145,145,0
03a-04,134,134,0
03c-02,178,178,0
12b-17031,191,191,0
03a-02,1065,1065,0
13a-01,146,146,0
12d-03,34,34,0
99-1100,174,174,0
