portalName,total,new_items,deleted_items
03a-03,232,4,1
04b-24003,167,3,1
01b-18163,56,0,0
01c-02,868,4,0
02b-17113,20,0,0
03a-02,1031,0,0
03a-04,224,4,1
03b-19113,132,0,0
04a-01,1500,55,1
04b-24005,204,0,0
04b-24013,34,0,0
04b-24021,110,0,0
04b-24025,91,0,0
04c-01,1539,37,0
04c-02,660,17,0
04f-01,101,0,0
05b-27011,15,0,0
05b-27019,82,0,1
05b-27027,19,0,0
05b-27119,70,0,0
05b-27121,34,0,0
05b-27123,31,0,0
05b-27137,8,0,0
05b-27167,48,10,0
05c-01,187,0,0
06a-01,426,16,1
06b-26125,323,2,0
06f-01,39,0,0
07b-26161,12,0,0
07c-01,158,1,1
07d-02,74,10,0
08b-42003,65,0,0
08b-42027,86,0,0
08b-42029,52,0,0
08b-42039,157,0,0
08b-42043,32,3,0
08b-42091,84,0,0
08b-42133,54,1,0
08c-02,336,1,0
09c-01,98,6,0
10b-55003,9,0,0
10b-55021,81,0,0
10b-55025,56,0,0
10b-55025-01,51,0,0
10b-55035-01,42,0,0
10b-55079,50,0,0
10b-55087,115,1,0
10b-55093,5,0,0
10b-55101,106,0,0
10b-55109,6,0,0
10b-55111,79,0,0
10b-55125-01,33,0,0
10b-55133,138,0,1
10b-55135,61,0,0
10b-55137,12,0,0
10b-55141,16,0,0
10c-03,164,2,0
10c-04,24,0,0
11a-01,1013,11,1
11b-39009,17,0,0
11b-39035,31,0,0
11b-39049,40,4,0
11b-39093,222,0,0
11b-39151,115,5,0
11b-39153,14,0,0
12b-17031,225,5,0
12b-17043,83,1,0
12b-17097,1441,99,0
12b-17143,126,1,0
12d-03,34,0,0
13a-01,180,4,1
99-1000,599,0,0
99-1100,361,2,0
