ID,document[b1g_dateRetired_s],document[b1g_status_s],document[publication_state]
3ca9be67815a426d87468f76dfa5cbbb_0,2022-01-03,['Inactive'],['unpublished']
322ee79b35f748869974ec661bd04bbc_17,2022-01-03,['Inactive'],['unpublished']
322ee79b35f748869974ec661bd04bbc_53,2022-01-03,['Inactive'],['unpublished']
322ee79b35f748869974ec661bd04bbc_74,2022-01-03,['Inactive'],['unpublished']
322ee79b35f748869974ec661bd04bbc_114,2022-01-03,['Inactive'],['unpublished']
322ee79b35f748869974ec661bd04bbc_161,2022-01-03,['Inactive'],['unpublished']
322ee79b35f748869974ec661bd04bbc_163,2022-01-03,['Inactive'],['unpublished']
322ee79b35f748869974ec661bd04bbc_42,2022-01-03,['Inactive'],['unpublished']
322ee79b35f748869974ec661bd04bbc_61,2022-01-03,['Inactive'],['unpublished']
64bde546dab34e84bfa5757ae17f08d3_66,2022-01-03,['Inactive'],['unpublished']
64bde546dab34e84bfa5757ae17f08d3_88,2022-01-03,['Inactive'],['unpublished']
64bde546dab34e84bfa5757ae17f08d3_102,2022-01-03,['Inactive'],['unpublished']
64bde546dab34e84bfa5757ae17f08d3_111,2022-01-03,['Inactive'],['unpublished']
64bde546dab34e84bfa5757ae17f08d3_138,2022-01-03,['Inactive'],['unpublished']
64bde546dab34e84bfa5757ae17f08d3_185,2022-01-03,['Inactive'],['unpublished']
64bde546dab34e84bfa5757ae17f08d3_191,2022-01-03,['Inactive'],['unpublished']
64bde546dab34e84bfa5757ae17f08d3_177,2022-01-03,['Inactive'],['unpublished']
64bde546dab34e84bfa5757ae17f08d3_179,2022-01-03,['Inactive'],['unpublished']
64bde546dab34e84bfa5757ae17f08d3_193,2022-01-03,['Inactive'],['unpublished']
64bde546dab34e84bfa5757ae17f08d3_23,2022-01-03,['Inactive'],['unpublished']
64bde546dab34e84bfa5757ae17f08d3_25,2022-01-03,['Inactive'],['unpublished']
322ee79b35f748869974ec661bd04bbc_34,2022-01-03,['Inactive'],['unpublished']
322ee79b35f748869974ec661bd04bbc_94,2022-01-03,['Inactive'],['unpublished']
322ee79b35f748869974ec661bd04bbc_103,2022-01-03,['Inactive'],['unpublished']
322ee79b35f748869974ec661bd04bbc_168,2022-01-03,['Inactive'],['unpublished']
322ee79b35f748869974ec661bd04bbc_175,2022-01-03,['Inactive'],['unpublished']
322ee79b35f748869974ec661bd04bbc_25,2022-01-03,['Inactive'],['unpublished']
322ee79b35f748869974ec661bd04bbc_28,2022-01-03,['Inactive'],['unpublished']
322ee79b35f748869974ec661bd04bbc_47,2022-01-03,['Inactive'],['unpublished']
322ee79b35f748869974ec661bd04bbc_68,2022-01-03,['Inactive'],['unpublished']
322ee79b35f748869974ec661bd04bbc_81,2022-01-03,['Inactive'],['unpublished']
