portalName,total,new_items,deleted_items
06a-01,406,33,32
05b-27167,0,0,19
01b-18163,59,0,0
11b-39153,36,1,1
08b-42133,56,0,0
04b-24031,64,0,0
01c-02,1203,1,1
02b-17113,17,0,0
04b-24013,30,0,0
08b-42003,61,0,0
11b-39009,25,1,0
05b-27011,15,0,0
05b-27017,0,0,0
05b-27019,89,0,0
08b-42027,86,1,1
04c-02,30,0,5
12b-17043,53,1,0
11b-39049,48,6,1
11a-01,1045,6,7
04b-24025,92,0,0
05b-27053,46,2,0
12b-17097,1448,1,0
03b-19113,111,30,18
05c-01,153,0,0
06b-26125,284,13,0
08c-02,272,7,1
05b-27121,58,0,0
99-1000,708,1,12
11b-39151,100,6,3
04b-24005,137,0,1
05b-27027,21,0,0
08b-42039,89,1,0
11b-39035,32,0,0
08b-42043,30,0,0
04f-01,85,0,0
05b-27057,0,0,0
11b-39093,220,0,0
04a-01,1211,19,2
08b-42091,40,1,1
04c-01,1333,10,1
12b-17143,125,0,0
05b-27123,31,0,8
05b-27139,62,0,0
06f-01,43,0,0
09c-01,83,0,0
07d-02,67,4,4
07b-26161,10,1,0
04b-24021,110,0,0
07c-01,146,11,10
03a-04,128,5,11
03c-02,179,1,0
12b-17031,202,11,0
03a-02,1061,11,15
13a-01,150,4,0
12d-03,34,0,0
99-1100,184,10,0
05b-27119,75,75,12
08b-42029,48,48,40
