ID,document[b1g_dateRetired_s],document[b1g_status_s],document[publication_state]
3c89abed3838459b94b59c32eccec61b_15,2021-11-22,['Inactive'],['unpublished']
3c89abed3838459b94b59c32eccec61b_0,2021-11-22,['Inactive'],['unpublished']
3c89abed3838459b94b59c32eccec61b_3,2021-11-22,['Inactive'],['unpublished']
3c89abed3838459b94b59c32eccec61b_5,2021-11-22,['Inactive'],['unpublished']
3c89abed3838459b94b59c32eccec61b_8,2021-11-22,['Inactive'],['unpublished']
3c89abed3838459b94b59c32eccec61b_1,2021-11-22,['Inactive'],['unpublished']
3c89abed3838459b94b59c32eccec61b_2,2021-11-22,['Inactive'],['unpublished']
3c89abed3838459b94b59c32eccec61b_4,2021-11-22,['Inactive'],['unpublished']
3c89abed3838459b94b59c32eccec61b_6,2021-11-22,['Inactive'],['unpublished']
3c89abed3838459b94b59c32eccec61b_7,2021-11-22,['Inactive'],['unpublished']
3c89abed3838459b94b59c32eccec61b_11,2021-11-22,['Inactive'],['unpublished']
3c89abed3838459b94b59c32eccec61b_12,2021-11-22,['Inactive'],['unpublished']
3c89abed3838459b94b59c32eccec61b_13,2021-11-22,['Inactive'],['unpublished']
3c89abed3838459b94b59c32eccec61b_14,2021-11-22,['Inactive'],['unpublished']
3c89abed3838459b94b59c32eccec61b_16,2021-11-22,['Inactive'],['unpublished']
52f8c962ccae42338375de910e41755f_0,2021-11-22,['Inactive'],['unpublished']
983ee0a9afc84b50b6815c2b3f131226_1,2021-11-22,['Inactive'],['unpublished']
8be62f086b8241f1a4dee7ed95762d4e_3,2021-11-22,['Inactive'],['unpublished']
c710fd973b73428db69ea2c3db990e88_1,2021-11-22,['Inactive'],['unpublished']
d8c67db15e934c5e9bd783c0d5a0a5cf_1,2021-11-22,['Inactive'],['unpublished']
22890b46ccc24872931821ad6c099ec1_0,2021-11-22,['Inactive'],['unpublished']
535348d6dcac44b599570526ddbdcdde_0,2021-11-22,['Inactive'],['unpublished']
92268d8813414bb5b0dbade2d90d7cf1_0,2021-11-22,['Inactive'],['unpublished']
28d7ab4654674af7bb082a22631c04d6_0,2021-11-22,['Inactive'],['unpublished']
53319332a909407e8ee52ae8ea79663d_0,2021-11-22,['Inactive'],['unpublished']
aadb693151aa43af8a91efa47ce89ee2_0,2021-11-22,['Inactive'],['unpublished']
371269625e46410894d30104a0acc76b_0,2021-11-22,['Inactive'],['unpublished']
7fc8af3657794c3c80f0032abc739a53_0,2021-11-22,['Inactive'],['unpublished']
fb5e9c29cc6c4550a7afd93db35d1af2_0,2021-11-22,['Inactive'],['unpublished']
b80b79c62993472e8772f6aeeb68e332_0,2021-11-22,['Inactive'],['unpublished']
a49b298a1cb9411fb423a76623445b97_0,2021-11-22,['Inactive'],['unpublished']
801dce2b34804b3f9c368d95531c8958_0,2021-11-22,['Inactive'],['unpublished']
7733de7bda74493a917aa3a50a501eb4_0,2021-11-22,['Inactive'],['unpublished']
7055dbb02f0c4f14ab7ea3eb5ebfda42_0,2021-11-22,['Inactive'],['unpublished']
22e8e11335de47ff9783f87a2b9e03a9_0,2021-11-22,['Inactive'],['unpublished']
710c204fa0bf48489c8fc1a4ac29b36d_0,2021-11-22,['Inactive'],['unpublished']
139e78a6123c49c9bd52758ac1ad6eb4_0,2021-11-22,['Inactive'],['unpublished']
e9870d074245477fa589782d6f135e47_0,2021-11-22,['Inactive'],['unpublished']
1ae34d0496b04c9faa417a8073b8bb2f_0,2021-11-22,['Inactive'],['unpublished']
d0bda7eccfe14a3abac856005962204b_0,2021-11-22,['Inactive'],['unpublished']
c2d605e9809b42729c08235f331c1cf1_0,2021-11-22,['Inactive'],['unpublished']
c6d879c20e5c497cbea01d48183e2299_0,2021-11-22,['Inactive'],['unpublished']
04e04ff083ff431e93eb606145e9fa57_0,2021-11-22,['Inactive'],['unpublished']
07c29235363048299eeb4f05eac22702_0,2021-11-22,['Inactive'],['unpublished']
0a0719a8352e40c29e82c5ad7113d38d_0,2021-11-22,['Inactive'],['unpublished']
1982713cc0a04dc4bb53d39726b167c0_0,2021-11-22,['Inactive'],['unpublished']
719d82a30ea347069c8a1839bd7511e0_0,2021-11-22,['Inactive'],['unpublished']
7fea3f8cb4724012a636eb19995f9c0f_0,2021-11-22,['Inactive'],['unpublished']
efe237d0c9014c948ba2eb80ddbef5b4_0,2021-11-22,['Inactive'],['unpublished']
a25c93053f1d43d8be4c0e1c6649cb81_0,2021-11-22,['Inactive'],['unpublished']
8545f13d2dc04accbd68081fa4a400da_0,2021-11-22,['Inactive'],['unpublished']
7c406ae2d53b448883a66fc390cf1f68_0,2021-11-22,['Inactive'],['unpublished']
b0ce63ce8eee4ffca8537765f4d7f578_0,2021-11-22,['Inactive'],['unpublished']
74fb707326834578b790f1072dadffda_0,2021-11-22,['Inactive'],['unpublished']
9c3f3172883e429fb88a344431f30dce_0,2021-11-22,['Inactive'],['unpublished']
4b34ad2c83274423891f1de47dab90e3_0,2021-11-22,['Inactive'],['unpublished']
4910ac94aeab44d29d69332b0f80aeab_0,2021-11-22,['Inactive'],['unpublished']
956e52eb7abb4787abd7386e8efd600b_0,2021-11-22,['Inactive'],['unpublished']
9dbe7eceac874aa49d0781e65b5c6973_0,2021-11-22,['Inactive'],['unpublished']
dc01725eeb5444d5a8ce4cbc9417280d_0,2021-11-22,['Inactive'],['unpublished']
4d98b32f484245778a1df5202333e359_0,2021-11-22,['Inactive'],['unpublished']
dd6fcf1090e74a1cad873eb07bc36015_0,2021-11-22,['Inactive'],['unpublished']
f63445d9528349febb81f0b89cd8be5b_0,2021-11-22,['Inactive'],['unpublished']
aa095f6286d4471e8d3b24949c9ecb6b_0,2021-11-22,['Inactive'],['unpublished']
c274c7d6a0f648d8ba3728eba3c8d2b2_0,2021-11-22,['Inactive'],['unpublished']
b46be1312ced48e5934582812cce16bb_0,2021-11-22,['Inactive'],['unpublished']
9f55edc4bd194d06bfbdccbf06b0a622_0,2021-11-22,['Inactive'],['unpublished']
dc7bf04cec4e41ef85cc6b391652e1e7_0,2021-11-22,['Inactive'],['unpublished']
81e0c680339a48e6aa224be52eb3be32_4,2021-11-22,['Inactive'],['unpublished']
81e0c680339a48e6aa224be52eb3be32_5,2021-11-22,['Inactive'],['unpublished']
81e0c680339a48e6aa224be52eb3be32_1,2021-11-22,['Inactive'],['unpublished']
81e0c680339a48e6aa224be52eb3be32_7,2021-11-22,['Inactive'],['unpublished']
81e0c680339a48e6aa224be52eb3be32_2,2021-11-22,['Inactive'],['unpublished']
81e0c680339a48e6aa224be52eb3be32_0,2021-11-22,['Inactive'],['unpublished']
81e0c680339a48e6aa224be52eb3be32_3,2021-11-22,['Inactive'],['unpublished']
81e0c680339a48e6aa224be52eb3be32_6,2021-11-22,['Inactive'],['unpublished']
27eb54f28c53451ca4bbd439f1e80550_0,2021-11-22,['Inactive'],['unpublished']
107ae837504447bab708d481fdd52175_0,2021-11-22,['Inactive'],['unpublished']
2c54152a72de43e9bd21ed53c20a1cc3_4,2021-11-22,['Inactive'],['unpublished']
2c54152a72de43e9bd21ed53c20a1cc3_3,2021-11-22,['Inactive'],['unpublished']
cea3ea81f7bb447abd5747904b47351a_0,2021-11-22,['Inactive'],['unpublished']
4ffbcd08a40f4516b7e41e88fa27bdac_30,2021-11-22,['Inactive'],['unpublished']
2265217a28c043aeb813a07039a60674_0,2021-11-22,['Inactive'],['unpublished']
2265217a28c043aeb813a07039a60674_1,2021-11-22,['Inactive'],['unpublished']
ff1172d09ae94928b1e3b9c47d3eec8f_0,2021-11-22,['Inactive'],['unpublished']
38e5ad9c0b894a8a8c0feffef544a53c_0,2021-11-22,['Inactive'],['unpublished']
f189b6132895412381ce72b8a9379843_0,2021-11-22,['Inactive'],['unpublished']
5b9ab9cdd2e444928114a0b13c87ab3c_0,2021-11-22,['Inactive'],['unpublished']
d2061be4b1b845ec9df216d3ee1dcb98_2,2021-11-22,['Inactive'],['unpublished']
0f992283941643aa8f3557bbce907a39_0,2021-11-22,['Inactive'],['unpublished']
fdcc10db0c3d44c5bf55798eef7ebf31_29,2021-11-22,['Inactive'],['unpublished']
0286131de8884484b26bbec4176ea403_0,2021-11-22,['Inactive'],['unpublished']
e25b631030a94cd1b63ae87effc99e6c_2,2021-11-22,['Inactive'],['unpublished']
eed9d61489024802bdc89aa039abee92_4,2021-11-22,['Inactive'],['unpublished']
f435bb1115b04d26953106a1f4abb967_3,2021-11-22,['Inactive'],['unpublished']
6a396e9580cb4616b743edcb847df23b_26,2021-11-22,['Inactive'],['unpublished']
d60028f77427442cac14d8f6effab8b1_1,2021-11-22,['Inactive'],['unpublished']
d58856e08d2f4f32ae84b68895f407f6_30,2021-11-22,['Inactive'],['unpublished']
ebff11ac9f9f4e85b69decd6883453a8_28,2021-11-22,['Inactive'],['unpublished']
bbaef06e8a9c4ca1ba0fee6e6dca33a8_1,2021-11-22,['Inactive'],['unpublished']
3b227646b36446e49eb0a5b145c7daa0_0,2021-11-22,['Inactive'],['unpublished']
65976230b3594b69bf4775c8adec9a57_1,2021-11-22,['Inactive'],['unpublished']
65976230b3594b69bf4775c8adec9a57_7,2021-11-22,['Inactive'],['unpublished']
65976230b3594b69bf4775c8adec9a57_3,2021-11-22,['Inactive'],['unpublished']
65976230b3594b69bf4775c8adec9a57_17,2021-11-22,['Inactive'],['unpublished']
65976230b3594b69bf4775c8adec9a57_13,2021-11-22,['Inactive'],['unpublished']
65976230b3594b69bf4775c8adec9a57_9,2021-11-22,['Inactive'],['unpublished']
65976230b3594b69bf4775c8adec9a57_15,2021-11-22,['Inactive'],['unpublished']
65976230b3594b69bf4775c8adec9a57_11,2021-11-22,['Inactive'],['unpublished']
65976230b3594b69bf4775c8adec9a57_5,2021-11-22,['Inactive'],['unpublished']
3b227646b36446e49eb0a5b145c7daa0_0,2021-11-22,['Inactive'],['unpublished']
d7897104163647468660f020d150a92f_0,2021-11-22,['Inactive'],['unpublished']
d7897104163647468660f020d150a92f_1,2021-11-22,['Inactive'],['unpublished']
d7897104163647468660f020d150a92f_2,2021-11-22,['Inactive'],['unpublished']
bbef14b4d6e04f84989426906f4528f6_5,2021-11-22,['Inactive'],['unpublished']
7b025aacb558436aac0ca4ed0539c46d_1,2021-11-22,['Inactive'],['unpublished']
db70f53314794657b6c5218e875cfee1_4,2021-11-22,['Inactive'],['unpublished']
265a881d96f84a2a9da3c14a040171d6_2,2021-11-22,['Inactive'],['unpublished']
32a33012e5f94f0a93ae6f3a21010df8_0,2021-11-22,['Inactive'],['unpublished']
3acbf54b287f447cacd6e002b5f43203_3,2021-11-22,['Inactive'],['unpublished']
1c004a108b18460bba1ddb29ec1f7982_0,2021-11-22,['Inactive'],['unpublished']
