ID,document[b1g_dateRetired_s],document[b1g_status_s],document[publication_state]
f057aa9e9b2541a3b264d03173726f78_133,2021-11-22,['Inactive'],['unpublished']
f057aa9e9b2541a3b264d03173726f78_105,2021-11-22,['Inactive'],['unpublished']
f057aa9e9b2541a3b264d03173726f78_93,2021-11-22,['Inactive'],['unpublished']
f057aa9e9b2541a3b264d03173726f78_154,2021-11-22,['Inactive'],['unpublished']
f057aa9e9b2541a3b264d03173726f78_110,2021-11-22,['Inactive'],['unpublished']
f057aa9e9b2541a3b264d03173726f78_48,2021-11-22,['Inactive'],['unpublished']
f057aa9e9b2541a3b264d03173726f78_65,2021-11-22,['Inactive'],['unpublished']
f057aa9e9b2541a3b264d03173726f78_84,2021-11-22,['Inactive'],['unpublished']
f057aa9e9b2541a3b264d03173726f78_35,2021-11-22,['Inactive'],['unpublished']
f057aa9e9b2541a3b264d03173726f78_116,2021-11-22,['Inactive'],['unpublished']
f057aa9e9b2541a3b264d03173726f78_135,2021-11-22,['Inactive'],['unpublished']
f057aa9e9b2541a3b264d03173726f78_144,2021-11-22,['Inactive'],['unpublished']
f057aa9e9b2541a3b264d03173726f78_158,2021-11-22,['Inactive'],['unpublished']
f057aa9e9b2541a3b264d03173726f78_17,2021-11-22,['Inactive'],['unpublished']
f057aa9e9b2541a3b264d03173726f78_42,2021-11-22,['Inactive'],['unpublished']
f057aa9e9b2541a3b264d03173726f78_118,2021-11-22,['Inactive'],['unpublished']
f057aa9e9b2541a3b264d03173726f78_127,2021-11-22,['Inactive'],['unpublished']
f057aa9e9b2541a3b264d03173726f78_153,2021-11-22,['Inactive'],['unpublished']
f057aa9e9b2541a3b264d03173726f78_156,2021-11-22,['Inactive'],['unpublished']
f057aa9e9b2541a3b264d03173726f78_88,2021-11-22,['Inactive'],['unpublished']
f057aa9e9b2541a3b264d03173726f78_99,2021-11-22,['Inactive'],['unpublished']
f057aa9e9b2541a3b264d03173726f78_139,2021-11-22,['Inactive'],['unpublished']
f057aa9e9b2541a3b264d03173726f78_155,2021-11-22,['Inactive'],['unpublished']
f057aa9e9b2541a3b264d03173726f78_25,2021-11-22,['Inactive'],['unpublished']
f057aa9e9b2541a3b264d03173726f78_50,2021-11-22,['Inactive'],['unpublished']
f057aa9e9b2541a3b264d03173726f78_59,2021-11-22,['Inactive'],['unpublished']
f057aa9e9b2541a3b264d03173726f78_157,2021-11-22,['Inactive'],['unpublished']
f057aa9e9b2541a3b264d03173726f78_159,2021-11-22,['Inactive'],['unpublished']
f057aa9e9b2541a3b264d03173726f78_101,2021-11-22,['Inactive'],['unpublished']
f057aa9e9b2541a3b264d03173726f78_13,2021-11-22,['Inactive'],['unpublished']
f057aa9e9b2541a3b264d03173726f78_29,2021-11-22,['Inactive'],['unpublished']
f057aa9e9b2541a3b264d03173726f78_38,2021-11-22,['Inactive'],['unpublished']
f057aa9e9b2541a3b264d03173726f78_54,2021-11-22,['Inactive'],['unpublished']
3c89abed3838459b94b59c32eccec61b_9,2021-11-22,['Inactive'],['unpublished']
3c89abed3838459b94b59c32eccec61b_10,2021-11-22,['Inactive'],['unpublished']
