portalName,total,new_items,deleted_items
04b-24013,29,2,0
04b-24031,65,0,0
07c-03,62,62,0
05b-27163,60,0,0
05b-27167,11,0,0
11b-39153,36,0,0
11b-39009,29,0,0
05b-27027,21,0,0
05b-27121,40,6,1
09c-01,65,4,2
12b-17143,102,0,1
08b-42091,50,25,0
11b-39049,45,0,1
03b-19113,143,0,0
08b-42027,89,0,0
08c-02,241,3,1
02a-02,8,0,0
04b-24025,108,0,4
06f-01,47,3,2
08b-42043,30,0,0
04b-24005,141,2,0
12b-17043,61,4,0
04b-24009,10,0,0
04f-01,126,126,0
02b-17113,16,0,0
05b-27053,44,0,0
01c-02,501,0,0
11b-39093,202,0,0
06a-01,419,21,4
05b-27057,5,0,0
05b-27137,8,0,0
05b-27017,3,0,0
01b-18163,56,0,0
12b-17097,1475,2,0
04c-02,35,1,0
05b-27011,1,0,0
04c-01,1243,8,0
06b-26125,273,64,1
11b-39035,36,0,0
05b-27119,15,0,0
05b-27019,90,0,0
08b-42003,66,2,1
02c-01,42,0,0
05c-01,150,6,0
03a-02,1327,0,3
08b-42039,74,0,0
07b-26161,8,8,0
04a-01,1214,58,2
11a-01,1136,28,169
