Title,Alternative Title,Description,Language,Creator,Title Source,Resource Class,ISO Topic Categories,Keyword,Date Issued,Temporal Coverage,Date Range,Spatial Coverage,Bounding Box,Resource Type,Format,Information,Download,MapServer,FeatureServer,ImageServer,ID,Identifier,Provider,Code,Member Of,Status,Accrual Method,Date Accessioned,Rights,Access Rights,Suppressed,Child Record,File Size
,USA Native Lands,"This layer was created by extracting American Indian Areas from the Federal Fee Managers layer of the Protected Areas Database of the United States version 2.1.Dataset SummaryPhenomenon Mapped: American Indian AreasCoordinate System:Web Mercator Auxiliary SphereExtent: 48 Contiguous United States, Alaska, and HawaiiVisible Scale: All ScalesSource: Protected Areas Database of the United States version 2.1Publication Date: September 2020What can you do with this layer?This layer can be used throughout the ArcGIS system. Feature layers can be used just like any other vector layer. You can use feature layers as an input to geoprocessing tools in ArcGIS Pro or in Analysis in ArcGIS Online. Combine the layer with others in a map and set custom symbology or create a pop-up tailored for your users. For the details of working with feature layers the help documentation for ArcGIS Pro or the help documentation for ArcGIS Online are great places to start. The ArcGIS Blog is a great source of ideas for things you can do with feature layers. This layer is part of ArcGIS Living Atlas of the World that provides an easy way to find and explore many other beautiful and authoritative layers, maps, and applications on hundreds of topics. ",eng,Esri,Esri,Datasets,,PADUS|PAD-US|landscape|hosted|esri_environment|PADUS2.1|reservation|tribe|tribal|native,2021-02-17T23:20:44.000Z,,,United States,"-174.2360,18.9107,-67.0355,71.3402",Vector data,Shapefile,https://gis-for-racialequity.hub.arcgis.com/datasets/9e985822fa6b41f092c172f22d055484_0,https://gis-for-racialequity.hub.arcgis.com/datasets/9e985822fa6b41f092c172f22d055484_0.zip,,,,9e985822fa6b41f092c172f22d055484_0,https://hub.arcgis.com/datasets/9e985822fa6b41f092c172f22d055484_0,,99-1100,99-1100,Active,ArcGIS Hub,2021-09-27,,Public,False,False,8.5076 MB
,CDC OMH Texas Social Vulnerability Index 2018,"The Minority Health Social Vulnerability Index (MH SVI) is an extension ofCDC/ATSDR Social Vulnerability Index, whichuses demographic variables to help local officials identify communities that may need support before, during, or after disasters. In addition to the standard CDC/ATSDR SVI themes of Socioeconomic Status, Household Composition & Disability, Minority Status & Language, and Housing & Transportation, the MH SVI includes statistics on race, ethnicity, and language groups, as well as themes for Health Care Access & Infrastructure and Medical Vulnerability. Developed in collaboration withHHS Office of Minority Health.This dataset includes individual variables, theme percentile rankings, and overall percentile rankings for 3,142 counties or equivalent areas in the United States. An interactive dashboard with full documentation is available via theMinority Health Social Vulnerability Index Explorer.Data SourcesAmerican Community Survey 2014-2018 5-Year Estimates, US Census BureauHomeland InfrastructureFoundation Level Data Open, US Department of Homeland SecurityHealth Resources and Services AdministrationInteractive Atlas of Heart Disease and Stroke, US Centers for Disease Control and PreventionDiabetes Surveillance System, US Centers for Disease Control and PreventionInstitute for Health Metrics and EvaluationFor more information about this dataset, please contact theCDC/ATSDR SVI Coordinator.Disclaimer: This product is for informational purposes only and may not be suitable for legal, engineering, or surveying purposes. It does not represent an official survey and represents only the approximate relative location of features and boundaries. Mapping may not necessarily reflect on-the-ground conditions. This product and those involved in its production make no claims as to the accuracy or reliability of the data, and neither assumes, nor will accept liability for their use.",eng,HARC,Esri,Datasets,,SocialVulnerability|MinorityHealth|Demographics|Population|AmericanCommunitySurvey|CDC/ATSDRSVI|CDC/ATSDRSocialVulnerabilityIndex|Income|Race|Ethnicity|HealthCare|MedicalVulnerability|Housing|Transportation|SocioeconomicStatus|MHSVI|MinorityHealthSVI|MinorityHealthSocialVulnerabilityIndex,2021-07-21T20:29:40.000Z,,,United States,"-106.1876,25.6499,-93.2130,36.4412",Vector data,Shapefile,https://gis-for-racialequity.hub.arcgis.com/datasets/778331f41bbf41b5bae32712d2d5a54b_0,https://gis-for-racialequity.hub.arcgis.com/datasets/778331f41bbf41b5bae32712d2d5a54b_0.zip,,,,778331f41bbf41b5bae32712d2d5a54b_0,https://hub.arcgis.com/datasets/778331f41bbf41b5bae32712d2d5a54b_0,,99-1100,99-1100,Active,ArcGIS Hub,2021-09-27,,Public,False,False,0.1907 MB
,Marion County,"City of Indianapolis & Marion County, IN Topographic Base Map",eng,City of Indianapolis and Marion County - IndyGIS,"City of Indianapolis and Marion County, Indiana",Datasets,,IndyBasemaps,2019-09-24T16:01:21.000Z,,,,"1.2782,14.2020,2.2634,15.1329",Vector data,Shapefile,https://data.indy.gov/datasets/322ee79b35f748869974ec661bd04bbc_4,https://data.indy.gov/datasets/322ee79b35f748869974ec661bd04bbc_4.zip,,,,322ee79b35f748869974ec661bd04bbc_4,https://hub.arcgis.com/datasets/322ee79b35f748869974ec661bd04bbc_4,Indiana University,01c-02,01c-02,Active,ArcGIS Hub,2021-09-27,,Public,False,False,0.0029 MB
,Neighborhoods,"City of Indianapolis & Marion County, IN Topographic Base Map",eng,City of Indianapolis and Marion County - IndyGIS,"City of Indianapolis and Marion County, Indiana",Datasets,,IndyBasemaps,2019-09-24T16:01:21.000Z,,,,"1.2782,14.2020,2.2634,15.1329",Vector data,Shapefile,https://data.indy.gov/datasets/322ee79b35f748869974ec661bd04bbc_183,https://data.indy.gov/datasets/322ee79b35f748869974ec661bd04bbc_183.zip,,,,322ee79b35f748869974ec661bd04bbc_183,https://hub.arcgis.com/datasets/322ee79b35f748869974ec661bd04bbc_183,Indiana University,01c-02,01c-02,Active,ArcGIS Hub,2021-09-27,,Public,False,False,0.3487 MB
,Excluded Cities,"City of Indianapolis & Marion County, IN Topographic Base Map",eng,City of Indianapolis and Marion County - IndyGIS,"City of Indianapolis and Marion County, Indiana",Datasets,,IndyBasemaps,2019-09-24T16:01:21.000Z,,,,"1.2782,14.2020,2.2634,15.1329",Vector data,Shapefile,https://data.indy.gov/datasets/322ee79b35f748869974ec661bd04bbc_6,https://data.indy.gov/datasets/322ee79b35f748869974ec661bd04bbc_6.zip,,,,322ee79b35f748869974ec661bd04bbc_6,https://hub.arcgis.com/datasets/322ee79b35f748869974ec661bd04bbc_6,Indiana University,01c-02,01c-02,Active,ArcGIS Hub,2021-09-27,,Public,False,False,0.01 MB
,Indianapolis,"City of Indianapolis & Marion County, IN Base Map. Compatible w/ ESRI's 'Dark Gray Canvas' Base Map.",eng,City of Indianapolis and Marion County - IndyGIS,"City of Indianapolis and Marion County, Indiana",Datasets,,Indy|Indianapolis|MarionCounty|IN|Indiana|IndyBasemaps,2019-07-23T15:08:11.000Z,,,,"1.2782,14.2020,2.2634,15.1329",Vector data,Shapefile,https://data.indy.gov/datasets/f057aa9e9b2541a3b264d03173726f78_159,https://data.indy.gov/datasets/f057aa9e9b2541a3b264d03173726f78_159.zip,,,,f057aa9e9b2541a3b264d03173726f78_159,https://hub.arcgis.com/datasets/f057aa9e9b2541a3b264d03173726f78_159,Indiana University,01c-02,01c-02,Active,ArcGIS Hub,2021-09-27,,Public,False,False,0.0029 MB
,Parcels,"City of Indianapolis & Marion County, IN Topographic Base Map",eng,City of Indianapolis and Marion County - IndyGIS,"City of Indianapolis and Marion County, Indiana",Datasets,,IndyBasemaps,2019-09-24T16:01:21.000Z,,,,"1.2783,14.2021,2.2635,15.1328",Vector data,Shapefile,https://data.indy.gov/datasets/322ee79b35f748869974ec661bd04bbc_182,https://data.indy.gov/datasets/f057aa9e9b2541a3b264d03173726f78_159.zip,,,,322ee79b35f748869974ec661bd04bbc_182,https://hub.arcgis.com/datasets/322ee79b35f748869974ec661bd04bbc_182,Indiana University,01c-02,01c-02,Active,ArcGIS Hub,2021-09-27,,Public,False,False,0.0029 MB
,Neighborhoods,"City of Indianapolis & Marion County, IN Topographic Base Map",eng,City of Indianapolis and Marion County - IndyGIS,"City of Indianapolis and Marion County, Indiana",Datasets,,IndyBasemaps,2019-09-24T16:01:21.000Z,,,,"1.2782,14.2020,2.2634,15.1329",Vector data,Shapefile,https://data.indy.gov/datasets/322ee79b35f748869974ec661bd04bbc_58,https://data.indy.gov/datasets/322ee79b35f748869974ec661bd04bbc_58.zip,,,,322ee79b35f748869974ec661bd04bbc_58,https://hub.arcgis.com/datasets/322ee79b35f748869974ec661bd04bbc_58,Indiana University,01c-02,01c-02,Active,ArcGIS Hub,2021-09-27,,Public,False,False,0.3487 MB
,Population Density,"City of Indianapolis & Marion County, IN Topographic Base Map",eng,City of Indianapolis and Marion County - IndyGIS,"City of Indianapolis and Marion County, Indiana",Datasets,,IndyBasemaps,2019-09-24T16:01:21.000Z,,,"Wynnedale, Indiana|Williams Creek, Indiana|Spring Hill, Indiana|Meridian Hills, Indiana|Warren Park, Indiana|Clermont, Indiana|Southport, Indiana|Hendricks County, Indiana|Rocky Ripple, Indiana|Speedway, Indiana|Homecroft, Indiana|Marion County, Indiana|Crows Nest, Indiana|North Crows Nest, Indiana|Beech Grove, Indiana|Indiana","-86.3290,39.6324,-85.9369,39.9277",Vector data,Shapefile,https://data.indy.gov/datasets/322ee79b35f748869974ec661bd04bbc_40,https://data.indy.gov/datasets/322ee79b35f748869974ec661bd04bbc_4.zip,,,,322ee79b35f748869974ec661bd04bbc_40,https://hub.arcgis.com/datasets/322ee79b35f748869974ec661bd04bbc_40,Indiana University,01c-02,01c-02,Active,ArcGIS Hub,2021-09-27,,Public,False,False,0.0029 MB
,Lakes,"City of Indianapolis & Marion County, IN Topographic Base Map",eng,City of Indianapolis and Marion County - IndyGIS,"City of Indianapolis and Marion County, Indiana",Datasets,,IndyBasemaps,2019-09-24T16:01:21.000Z,,,"Wynnedale, Indiana|Williams Creek, Indiana|Spring Hill, Indiana|Meridian Hills, Indiana|Warren Park, Indiana|Clermont, Indiana|Southport, Indiana|Hendricks County, Indiana|Rocky Ripple, Indiana|Speedway, Indiana|Homecroft, Indiana|Marion County, Indiana|Crows Nest, Indiana|North Crows Nest, Indiana|Beech Grove, Indiana|Indiana","-86.3289,39.6334,-85.9369,39.9275",Vector data,Shapefile,https://data.indy.gov/datasets/322ee79b35f748869974ec661bd04bbc_150,https://data.indy.gov/datasets/322ee79b35f748869974ec661bd04bbc_150.zip,,,,322ee79b35f748869974ec661bd04bbc_150,https://hub.arcgis.com/datasets/322ee79b35f748869974ec661bd04bbc_150,Indiana University,01c-02,01c-02,Active,ArcGIS Hub,2021-09-27,,Public,False,False,2.2177 MB
