portalName,total,new_items,deleted_items
06a-01,353,8,28
05b-27167,53,53,0
01b-18163,60,1,0
11b-39153,23,3,3
08b-42133,56,0,0
04b-24031,67,1,0
01c-02,1205,4,0
02b-17113,17,0,0
04b-24013,32,0,0
08b-42003,55,0,0
11b-39009,23,0,2
05b-27011,15,0,0
05b-27017,0,0,0
05b-27019,89,0,0
08b-42027,87,1,1
04c-02,70,70,27
12b-17043,58,4,0
11b-39049,46,0,1
11a-01,1031,5,8
04b-24025,91,1,1
05b-27053,46,0,0
12b-17097,1456,3,0
03b-19113,102,0,4
05c-01,154,1,0
06b-26125,284,0,0
08c-02,272,2,1
05b-27119,75,0,0
05b-27121,58,0,0
99-1000,703,9,9
11b-39151,96,5,6
04b-24005,138,3,0
08b-42029,48,1,0
05b-27027,21,0,0
08b-42039,110,15,0
11b-39035,32,0,0
08b-42043,30,0,0
04f-01,86,2,0
05b-27057,0,0,0
11b-39093,221,0,0
04a-01,1227,11,0
08b-42091,39,0,0
04c-01,1382,20,3
12b-17143,130,0,0
05b-27123,31,0,0
05b-27139,61,0,0
06f-01,46,4,0
09c-01,87,2,0
07d-02,65,0,1
07b-26161,11,1,0
04b-24021,110,0,0
07c-01,146,0,0
03a-04,251,21,20
03c-02,177,0,0
12b-17031,204,1,0
03a-02,1057,7,11
13a-01,146,0,2
12d-03,34,0,0
99-1100,205,6,0
