ID,document[b1g_dateRetired_s],document[b1g_status_s],document[publication_state]
item.html?id=a9f66f6621244d19a71db21d8d490378,2022-09-16,Inactive,['unpublished']
item.html?id=ba29333cd39f4debaf13174c17b50dab&sublayer=14,2022-09-16,Inactive,['unpublished']
item.html?id=49e8eafac43b4ae0946e1621149f7b67&sublayer=17,2022-09-16,Inactive,['unpublished']
item.html?id=71caa6b146934acaae340244e748c76d,2022-09-16,Inactive,['unpublished']
item.html?id=60d42922edff4309afec53b21cf923cd,2022-09-16,Inactive,['unpublished']
item.html?id=67242413afd34dccae7ded7172c2d4bb&sublayer=0,2022-09-16,Inactive,['unpublished']
item.html?id=cd17ed3289ed4abaacc3fb2699583ef3&sublayer=0,2022-09-16,Inactive,['unpublished']
item.html?id=f7eb9ab5dce14f11afa4eab7a8913bfd&sublayer=13,2022-09-16,Inactive,['unpublished']
item.html?id=41fd02a0c6bf45d49934d23c5f4e4cde&sublayer=0,2022-09-16,Inactive,['unpublished']
item.html?id=e96c2d9e3a83456487057615a8fae615&sublayer=1,2022-09-16,Inactive,['unpublished']
item.html?id=4b8338eb243e4225bab941a51d48be98&sublayer=0,2022-09-16,Inactive,['unpublished']
item.html?id=2f4e403262934b8faaa36c5aeeebf0e6&sublayer=28,2022-09-16,Inactive,['unpublished']
item.html?id=7994a3dbdc784e4db05197ba063c6277&sublayer=0,2022-09-16,Inactive,['unpublished']
item.html?id=4bada947cd6d49b8af28b448784d0a35,2022-09-16,Inactive,['unpublished']
item.html?id=be65bed63ac24a6d92404e6db1d069c1,2022-09-16,Inactive,['unpublished']
item.html?id=f5e545d1808e41bc9a350118bf6f86a9&sublayer=0,2022-09-16,Inactive,['unpublished']
item.html?id=628419557d354932b3f9fbc282adab4a&sublayer=0,2022-09-16,Inactive,['unpublished']
item.html?id=8305349a5a3c410cbf9f8f878c84a5fa,2022-09-16,Inactive,['unpublished']
item.html?id=a48de06ea51e490fa32ce1f35f51ae33,2022-09-16,Inactive,['unpublished']
item.html?id=2b9ed732003444598490b21b8c95628c,2022-09-16,Inactive,['unpublished']
item.html?id=cb9c65ce9ea34cc09b3e27a2f83c9077,2022-09-16,Inactive,['unpublished']
item.html?id=1a8bd5a83de24d65b18d041519dc7b6a&sublayer=0,2022-09-16,Inactive,['unpublished']
item.html?id=4b387724967c46afb396a890f7246b6b,2022-09-16,Inactive,['unpublished']
item.html?id=a95d21a0d6bd4d42b96b88acdd910b49,2022-09-16,Inactive,['unpublished']
item.html?id=b9425094e57e4f279f10b47b655a3368&sublayer=2,2022-09-16,Inactive,['unpublished']
item.html?id=e48d93849be84a7cb4b58431bb0b4ef2&sublayer=126,2022-09-16,Inactive,['unpublished']
item.html?id=18e208bf017f469e8fce35b433800007,2022-09-16,Inactive,['unpublished']
item.html?id=b56420c8e6f345579e49f7711d356f24,2022-09-16,Inactive,['unpublished']
item.html?id=928906e23c3b45269a256f0aac2839af,2022-09-16,Inactive,['unpublished']
item.html?id=25f188d40126454093c103eba1d16b0e&sublayer=0,2022-09-16,Inactive,['unpublished']
item.html?id=1bd0551bffe046af819ee8b032d0601b,2022-09-16,Inactive,['unpublished']
item.html?id=56bb3556bc5542cfa217348b09c80efb,2022-09-16,Inactive,['unpublished']
item.html?id=900ddaf2707f44dfa943bba4a2db2b41,2022-09-16,Inactive,['unpublished']
