portalName,total,new_items,deleted_items
01b-18163,56,0,1
01c-02,864,53,90
02b-17113,20,0,0
03a-02,1031,2,1
03a-03,230,1,1
03a-04,222,1,1
03b-19113,132,0,0
04a-01,1431,1,0
04b-24003,165,19,4
04b-24005,204,2,1
04b-24013,34,0,0
04b-24021,110,0,0
04b-24025,91,0,0
04c-01,1515,29,0
04c-02,645,68,4
04f-01,101,2,2
05b-27011,15,0,0
05b-27017,0,0,0
05b-27019,83,0,0
05b-27027,19,0,0
05b-27053,47,0,0
05b-27057,0,0,0
05b-27119,70,0,0
05b-27121,34,0,0
05b-27123,31,0,0
05b-27137,8,0,0
05b-27139,60,0,0
05b-27167,47,11,0
05c-01,187,10,0
06a-01,413,30,8
06b-26125,323,0,0
06f-01,39,0,1
07b-26161,12,0,0
07c-01,160,17,14
07d-02,63,0,0
08b-42003,65,7,0
08b-42027,86,1,0
08b-42029,52,5,1
08b-42039,157,5,1
08b-42043,29,1,0
08b-42091,84,7,0
08b-42133,54,0,0
08c-02,335,2,1
09c-01,92,6,5
10b-55003,9,0,1
10b-55021,81,0,0
10b-55025,57,0,0
10b-55025-01,51,0,0
10b-55035-01,42,2,0
10b-55079,50,2,0
10b-55087,115,1,0
10b-55093,5,0,0
10b-55101,106,0,0
10b-55109,6,0,0
10b-55111,79,0,0
10b-55125-01,33,0,0
10b-55133,160,1,22
10b-55135,61,0,0
10b-55137,12,0,0
10b-55141,16,0,0
10c-03,163,5,0
10c-04,24,1,0
11a-01,1014,12,23
11b-39009,17,1,0
11b-39035,31,0,0
11b-39049,36,0,3
11b-39093,222,0,0
11b-39151,116,7,0
11b-39153,14,0,1
12b-17031,220,1,0
12b-17043,82,1,0
12b-17097,1343,0,0
12b-17143,125,0,0
12d-03,34,0,0
13a-01,178,47,0
99-1000,601,13,15
99-1100,359,2,0
