portalName,total,new_items,deleted_items
01b-18163,56,0,0
01c-02,1172,0,0
02b-17113,20,0,20
03a-02,1036,3,3
03a-04,211,1,0
03b-19113,95,0,0
04a-01,1457,4,1
04b-24005,157,0,0
04b-24013,31,0,0
04b-24021,109,0,0
04b-24025,91,0,0
04b-24031,69,5,3
04c-01,1507,6,0
04c-02,620,20,16
04f-01,93,5,2
05b-27011,4,0,0
05b-27017,0,0,0
05b-27019,79,0,0
05b-27027,19,0,1
05b-27053,46,0,0
05b-27057,0,0,0
05b-27119,81,0,0
05b-27121,44,3,3
05b-27123,30,0,0
05b-27137,8,0,0
05b-27139,61,0,0
05b-27167,51,0,0
05c-01,178,0,0
06a-01,366,1,5
06b-26125,323,0,0
06f-01,43,0,0
07b-26161,12,0,0
07c-01,151,1,3
07d-02,63,0,0
08b-42003,58,0,0
08b-42027,83,0,0
08b-42029,48,0,1
08b-42039,167,0,0
08b-42043,28,0,0
08b-42091,78,1,0
08b-42133,55,0,0
08c-02,309,5,0
09c-01,92,0,0
10b-55003,10,1,0
10b-55021,81,0,0
10b-55025,58,0,0
10b-55025-01,51,0,0
10b-55035-01,39,0,0
10b-55079,69,19,0
10b-55087,91,0,0
10b-55093,5,0,0
10b-55101,107,0,0
10b-55109,6,0,0
10b-55111,79,0,0
10b-55125-01,33,0,0
10b-55133,177,4,3
10b-55135,61,0,0
10b-55137,12,0,0
10b-55141,16,0,0
10c-03,158,0,0
10c-04,31,2,4
11a-01,1017,7,0
11b-39009,16,0,0
11b-39035,31,0,0
11b-39049,46,0,0
11b-39093,210,0,0
11b-39151,90,4,0
11b-39153,15,0,0
12b-17031,201,1,1
12b-17043,84,6,2
12b-17097,1343,0,0
12b-17143,123,1,0
12d-03,34,0,0
13a-01,133,0,0
99-1000,633,0,0
99-1100,296,0,0
