portalName,total,new_items,deleted_items
06a-01,332,18,17
05b-27167,52,0,0
01b-18163,60,0,0
11b-39153,18,0,5
08b-42133,55,0,0
04b-24031,72,0,0
01c-02,1174,5,0
02b-17113,42,25,0
04b-24013,31,0,1
08b-42003,57,1,0
11b-39009,16,0,0
05b-27011,15,0,0
05b-27017,0,0,0
05b-27019,79,0,0
08b-42027,86,0,0
04c-02,428,368,4
12b-17043,58,1,1
11b-39049,46,11,10
11a-01,1017,15,5
04b-24025,83,0,0
05b-27053,46,0,0
12b-17097,1334,35,0
03b-19113,96,0,1
05c-01,159,3,1
06b-26125,311,43,0
08c-02,271,9,11
05b-27119,74,0,0
05b-27121,57,0,0
99-1000,663,10,0
11b-39151,91,6,0
04b-24005,150,16,2
08b-42029,46,0,0
05b-27027,21,0,0
08b-42039,151,71,30
11b-39035,31,0,1
08b-42043,28,0,0
04f-01,85,0,1
05b-27057,0,0,0
11b-39093,210,0,0
04a-01,1428,210,1
08b-42091,67,34,3
04c-01,1483,82,1
12b-17143,122,2,0
05b-27123,31,0,0
05b-27139,61,1,0
06f-01,46,0,0
09c-01,92,6,0
07d-02,65,3,0
07b-26161,11,0,0
04b-24021,109,0,0
07c-01,148,7,3
03a-04,212,6,38
03c-02,181,7,1
12b-17031,197,0,0
03a-02,1054,1,1
13a-01,148,2,2
12d-03,34,0,0
99-1100,237,27,0
10b-55003,9,0,0
10c-03,158,0,0
10c-04,34,0,1
10b-55021,78,0,0
10b-55025,56,0,0
10b-55025-01,52,0,0
10b-55035-01,38,0,0
10b-55079,70,0,0
10b-55087,91,1,0
10b-55093,4,0,0
10b-55101,107,0,0
10b-55111,76,1,0
10b-55109,6,0,0
10b-55125-01,32,0,0
10b-55133,173,0,0
10b-55135,61,0,0
10b-55137,12,0,0
10b-55141,16,0,0
