portalName,total,new_items,deleted_items
07c-01,141,141,0
08b-42133,55,0,0
04b-24013,30,0,0
04b-24031,67,0,0
07d-02,88,2,0
05b-27163,61,0,0
08b-42091,36,1,2
11b-39151,96,7,6
11b-39153,36,0,0
11b-39009,26,0,0
05b-27123,39,0,0
05b-27027,21,0,0
05b-27121,0,0,0
09c-01,85,0,0
05b-27139,63,0,0
12b-17143,102,0,0
11b-39049,44,0,0
03b-19113,143,0,0
08b-42027,87,71,81
08c-02,248,0,0
04b-24021,114,4,0
05b-27167,11,0,0
02a-02,8,0,0
08b-42029,40,0,0
06f-01,45,0,0
08b-42043,30,0,0
04b-24005,144,3,0
12b-17043,57,10,8
04b-24009,10,0,0
04f-01,91,5,2
04b-24025,109,0,0
02b-17113,17,0,0
05b-27053,44,0,0
01c-02,1207,0,0
11b-39093,214,0,0
06a-01,423,5,4
05b-27057,5,0,0
05b-27137,8,1,1
05b-27017,0,0,0
01b-18163,64,0,0
12b-17097,1478,10,7
04c-02,35,0,0
05b-27011,14,0,0
04c-01,1239,24,4
06b-26125,272,0,0
11b-39035,32,0,0
05b-27119,12,0,0
05b-27019,93,2,0
08b-42003,63,1,1
02c-01,42,0,0
05c-01,144,12,12
03a-02,1120,1,14
08b-42039,83,0,0
07b-26161,8,0,0
03a-04,128,10,0
04a-01,1359,12,8
11a-01,1105,7,9
