ID,document[b1g_dateRetired_s],document[b1g_status_s],document[publication_state]
IowaDOT::alt2-levee-commercial-fw,2022-04-17,Inactive,['unpublished']
linncounty-gis::2020-imagery-township-84-range-7,2022-04-17,Inactive,['unpublished']
maryland::maryland-transit-baltimore-metro-subway-parking,2022-04-17,Inactive,['unpublished']
DCGIS::targeted-employment-area,2022-04-17,Inactive,['unpublished']
bniajfi::total-population-community-statistical-area,2022-04-17,Inactive,['unpublished']
cityoflakes::damaged-properties-public,2022-04-17,Inactive,['unpublished']
midnr::michigan-low-deer-browse-risk-areas,2022-04-17,Inactive,['unpublished']
AlCoGIS::ac-addresspoints,2022-04-17,Inactive,['unpublished']
racinecounty::electionpollingplaces,2022-04-17,Inactive,['unpublished']
a74b5ac97ef348faac390b5316a35055_0,2022-04-17,Inactive,['unpublished']
geohio::paulding-rail-crossings-lbrs,2022-04-17,Inactive,['unpublished']
2a8d5f4e39644c07ba76034c327d9238_3,2022-04-17,Inactive,['unpublished']
nebraska::mile-marker,2022-04-17,Inactive,['unpublished']
SC-DHEC::sc-dhec-covid-19-by-county-,2022-04-17,Inactive,['unpublished']
