portalName,total,new_items,deleted_items
01b-18163,56,0,0
01c-02,1172,0,0
02b-17113,21,0,20
03a-02,1035,7,20
03a-04,214,1,0
03b-19113,95,0,0
04a-01,1437,12,8
04b-24005,156,0,0
04b-24013,31,0,0
04b-24021,109,0,0
04b-24025,90,3,0
04b-24031,72,0,0
04c-01,1505,8,0
04c-02,578,7,2
04f-01,90,0,0
05b-27011,15,0,0
05b-27017,0,0,0
05b-27019,79,0,0
05b-27027,20,0,0
05b-27053,46,0,0
05b-27057,0,0,0
05b-27119,81,0,0
05b-27121,59,4,3
05b-27123,30,0,1
05b-27137,8,0,0
05b-27139,61,1,0
05b-27167,51,0,0
05c-01,161,1,1
06a-01,367,8,2
06b-26125,321,9,1
06f-01,44,1,0
07b-26161,12,0,0
07c-01,154,0,0
07d-02,63,0,1
08b-42003,58,0,0
08b-42027,83,2,1
08b-42029,46,0,0
08b-42039,168,2,1
08b-42043,28,0,0
08b-42091,78,2,0
08b-42133,55,0,0
08c-02,304,21,1
09c-01,93,1,0
10b-55003,9,0,0
10b-55021,81,0,0
10b-55025,58,0,0
10b-55025-01,52,0,1
10b-55035-01,38,0,0
10b-55079,52,0,0
10b-55087,91,15,15
10b-55093,5,0,0
10b-55101,107,0,0
10b-55109,6,0,0
10b-55111,76,0,1
10b-55125-01,33,0,0
10b-55133,176,0,0
10b-55135,61,0,0
10b-55137,12,0,0
10b-55141,16,0,0
10c-03,158,0,0
10c-04,34,0,0
11a-01,1014,4,1
11b-39009,16,0,0
11b-39035,31,0,0
11b-39049,46,0,0
11b-39093,210,0,0
11b-39151,91,4,0
11b-39153,15,1,0
12b-17031,200,1,0
12b-17043,79,2,3
12b-17097,1339,1,0
12b-17143,123,1,0
12d-03,34,0,0
13a-01,137,0,1
99-1000,645,2,0
99-1100,284,18,0
