portalName,total,new_items,deleted_items
01b-18163,57,0,0
01c-02,903,45,33
02b-17113,20,0,0
03a-02,1030,0,0
03a-03,230,3,0
03a-04,222,2,0
03b-19113,132,0,0
04a-01,1433,4,20
04b-24005,203,28,0
04b-24013,34,3,0
04b-24021,110,0,0
04b-24025,91,0,0
04c-01,1515,21,2
04c-02,582,7,48
04f-01,101,0,0
05b-27011,15,11,0
05b-27017,0,0,0
05b-27019,83,3,0
05b-27027,19,0,0
05b-27053,47,0,0
05b-27057,0,0,0
05b-27119,70,0,8
05b-27121,34,0,0
05b-27123,31,0,0
05b-27137,8,0,0
05b-27139,60,0,0
05b-27167,44,10,1
05c-01,177,0,1
06a-01,393,17,2
06b-26125,323,0,0
06f-01,40,3,0
07b-26161,12,0,0
07c-01,162,6,0
07d-02,63,0,0
08b-42003,58,0,1
08b-42027,86,1,1
08b-42029,49,3,2
08b-42039,153,2,0
08b-42043,28,0,0
08b-42091,77,0,0
08b-42133,55,0,0
08c-02,334,3,0
09c-01,96,6,4
10b-55003,10,0,0
10b-55021,81,0,0
10b-55025,60,0,0
10b-55025-01,51,0,0
10b-55035-01,40,0,0
10b-55079,48,0,11
10b-55087,114,0,0
10b-55093,5,0,0
10b-55101,106,0,0
10b-55109,6,0,0
10b-55111,79,0,0
10b-55125-01,33,0,0
10b-55133,183,4,0
10b-55135,61,0,0
10b-55137,12,0,0
10b-55141,16,0,0
10c-03,158,0,0
10c-04,23,0,0
11a-01,1034,33,2
11b-39009,16,0,0
11b-39035,31,0,0
11b-39049,39,2,9
11b-39093,222,0,0
11b-39151,114,28,1
11b-39153,15,0,0
12b-17031,219,0,0
12b-17043,83,2,3
12b-17097,1343,0,0
12b-17143,125,1,0
12d-03,34,0,0
13a-01,132,6,6
99-1000,609,2,1
99-1100,357,2,0
