portalName,total,new_items,deleted_items
01b-18163,57,0,0
01c-02,622,22,1
02b-17113,21,1,0
03a-02,1007,0,0
03a-03,244,0,0
03b-19113,137,3,0
04a-01,1495,6,1
04b-24003,168,4,1
04b-24005,197,0,1
04b-24009,16,0,0
04b-24013,34,0,0
04b-24021,112,0,0
04b-24025,99,7,0
04c-01,1705,16,1
04c-02,678,18,1
04f-01,159,3,0
05b-27011,15,0,0
05b-27019,103,3,0
05b-27023,7,0,0
05b-27027,19,0,0
05b-27053,28,0,0
05b-27119,72,0,0
05b-27121,40,0,0
05b-27123,34,3,0
05b-27137,8,0,0
05b-27145,8,8,0
05b-27167,13,2,1
06a-01,412,20,1
06b-26125,327,2,0
06f-01,43,3,1
07b-26161,12,0,0
07c-01,171,10,1
07d-02,66,0,0
08b-42003,57,1,0
08b-42027,83,1,1
08b-42029,55,0,0
08b-42039,294,0,0
08b-42043,32,0,0
08b-42091,95,0,1
08b-42133,53,0,1
08c-02,361,0,0
09c-01,115,0,0
10b-55003,9,0,0
10b-55021,84,0,0
10b-55025,34,1,1
10b-55025-01,48,0,0
10b-55035-01,39,1,0
10b-55059,42,3,1
10b-55079,60,0,0
10b-55087,154,3,1
10b-55093,5,0,0
10b-55101,107,4,1
10b-55109,3,3,0
10b-55111,80,0,0
10b-55125-01,33,0,0
10b-55133,44,0,1
10b-55135,61,0,0
10b-55137,12,0,0
10b-55141,17,0,0
10c-03,166,2,0
10c-04,23,0,0
11a-01,963,22,0
11b-39009,28,9,1
11b-39035,37,1,0
11b-39049,42,0,0
11b-39093,235,0,0
11b-39151,113,5,0
11b-39153,12,0,0
12b-17031,264,3,1
12b-17043,94,2,1
12b-17097,1590,0,0
12b-17143,127,0,0
12d-03,34,0,0
13a-01,203,7,1
13a-04,50,4,1
13b-31055,80,5,0
13b-31153,122,0,0
13c-01,212,0,0
13c-02,61,3,0
14a-01,681,8,0
99-1000,566,1,0
99-1100,477,35,0
