identifier,landingPage,portalName
1d296b34c9714bdda8db67927eea4ac2,http://data1-indygis.opendata.arcgis.com/datasets/1d296b34c9714bdda8db67927eea4ac2,01c-02
b77c9a7dc39f4b118b53d4c3e7e67b04,http://data1-indygis.opendata.arcgis.com/datasets/b77c9a7dc39f4b118b53d4c3e7e67b04,01c-02
58e27e3448a24081ae35b9e89037344e,http://data1-indygis.opendata.arcgis.com/datasets/58e27e3448a24081ae35b9e89037344e,01c-02
f5b97f0c976a4e74a53810b63b53f54d_13,http://data1-indygis.opendata.arcgis.com/datasets/f5b97f0c976a4e74a53810b63b53f54d_13,01c-02
92f8aa3b1b284c28983acf1d7171c9e8,http://data1-indygis.opendata.arcgis.com/datasets/92f8aa3b1b284c28983acf1d7171c9e8,01c-02
bb00e9fe5ed84273b61ced9f3580dfe5,http://data1-indygis.opendata.arcgis.com/datasets/bb00e9fe5ed84273b61ced9f3580dfe5,01c-02
b6fedb76ff1e48e28c3a285b6ac2a43c,http://data1-indygis.opendata.arcgis.com/datasets/b6fedb76ff1e48e28c3a285b6ac2a43c,01c-02
1208f7496b794efda595e2d630ed333c_3,http://public-iowadot.opendata.arcgis.com/datasets/1208f7496b794efda595e2d630ed333c_3,03a-02
de0f6ffad7fc4d62b4e384b3115c1287_0,http://public-iowadot.opendata.arcgis.com/datasets/de0f6ffad7fc4d62b4e384b3115c1287_0,03a-02
1208f7496b794efda595e2d630ed333c_1,http://public-iowadot.opendata.arcgis.com/datasets/1208f7496b794efda595e2d630ed333c_1,03a-02
1208f7496b794efda595e2d630ed333c_0,http://public-iowadot.opendata.arcgis.com/datasets/1208f7496b794efda595e2d630ed333c_0,03a-02
36802aa66a284ba597df420a231c71ba_0,http://public-iowadot.opendata.arcgis.com/datasets/36802aa66a284ba597df420a231c71ba_0,03a-02
1208f7496b794efda595e2d630ed333c_2,http://public-iowadot.opendata.arcgis.com/datasets/1208f7496b794efda595e2d630ed333c_2,03a-02
2e0a7d8a5ec04980810b353d59057de9_0,http://public-iowadot.opendata.arcgis.com/datasets/2e0a7d8a5ec04980810b353d59057de9_0,03a-02
aee8ce2443c84d309ee49b756b3dba3e_0,http://public-iowadot.opendata.arcgis.com/datasets/aee8ce2443c84d309ee49b756b3dba3e_0,03a-02
41a7867699d4406c8953a3e646608a38_0,http://public-iowadot.opendata.arcgis.com/datasets/41a7867699d4406c8953a3e646608a38_0,03a-02
