ID,document[b1g_dateRetired_s],document[b1g_status_s],document[publication_state]
iowadnr::national-wetland-inventory-of-iowa-data-download,2022-02-27,['Inactive'],['unpublished']
IndyGIS::airfields-4,2022-02-27,['Inactive'],['unpublished']
iowadnr::national-wetland-inventory-of-iowa-data-download,2022-02-27,['Inactive'],['unpublished']
linncounty-gis::2020-imagery-township-86-range-6,2022-02-27,['Inactive'],['unpublished']
maryland::maryland-ecosystem-services-atmospheric-nitrogen-dioxide-removal-economic-benefit-dollars-per-year,2022-02-27,['Inactive'],['unpublished']
DCGIS::farmers-market-locations,2022-02-27,['Inactive'],['unpublished']
bniajfi::percentage-of-students-who-met-or-exceeded-parcc-algebra-ii,2022-02-27,['Inactive'],['unpublished']
hennepin::city-halls,2022-02-27,['Inactive'],['unpublished']
PopeCounty::waterbodies-1,2022-02-27,['Inactive'],['unpublished']
RamseyGIS::elevations,2022-02-27,['Inactive'],['unpublished']
cityoflakes::gotcha,2022-02-27,['Inactive'],['unpublished']
montcopa::montco-trail-challenge-2021-1,2022-02-27,['Inactive'],['unpublished']
YorkCountyPA::land-joins,2022-02-27,['Inactive'],['unpublished']
ab478acb9f074747bfe288660cfe13a6_0,2022-02-27,['Inactive'],['unpublished']
cityofmadison::platted-lots-in-parks-lines,2022-02-27,['Inactive'],['unpublished']
OEMA::ohio-emergency-expense-risk-index-1,2022-02-27,['Inactive'],['unpublished']
athgis::athens-grid,2022-02-27,['Inactive'],['unpublished']
athgis::athens-grid,2022-02-27,['Inactive'],['unpublished']
starkcountyohio::parcel-transfer-update-01-30-2022,2022-02-27,['Inactive'],['unpublished']
89601e541878446ca181f7a21da7d57c,2022-02-27,['Inactive'],['unpublished']
