Title,Alternative Title,Description,Language,Creator,Publisher,Genre,Subject,Keyword,Date Issued,Temporal Coverage,Date Range,Solr Year,Spatial Coverage,Bounding Box,Type,Geometry Type,Format,Information,Download,MapServer,FeatureServer,ImageServer,Slug,Identifier,Provenance,Code,Is Part Of,Status,Accrual Method,Date Accessioned,Rights,Access Rights,Suppressed,Child,FileSize
,Primary Sulfur Dioxide National Ambient Air Quality Standard Nonattainment Areas - 2010 ,"The United States Environmental Protection Agency (USEPA) requires Michigan to attain the National Ambient Air Quality Standards (NAAQS) for six criteria pollutants. The data contained in this layer file outlines the statewide nonattainment areas for the 2010 Primary Sulfur Dioxide NAAQS as designated by the USEPA. There are two partial nonattainment areas currently for this standard located in Southeast Michigan; one within St. Clair county and the other within Wayne county along the Detroit River. Further information about the six criteria pollutant NAAQS, including sulfur dioxide can be found on EGLE Air Quality Division's SIP and Attainment webpage. ",English,"Michigan Dept. of Environment, Great Lakes, and Energy",State of Michigan,Datasets,,AirQualityDivision|AQD|EGLE|Michigan|Boundaries|Monitoring,2021-04-08T16:53:26.000Z,,,,"Rochester, Michigan|Richmond, Michigan|Pearl Beach, Michigan|Melvindale, Michigan|Harper Woods, Michigan|St. Clair Shores, Michigan|Ecorse, Michigan|Allen Park, Michigan|Huntington Woods, Michigan|St. Clair County, Michigan|Grosse Pointe, Michigan|Hazel Park, Michigan|Macomb County, Michigan|Memphis, Michigan|Southgate, Michigan|Madison Heights, Michigan|Royal Oak, Michigan|Village Of Grosse Pointe Shores, Michigan|Wayne County, Michigan|Fraser, Michigan|Rochester Hills, Michigan|Mount Clemens, Michigan|Romeo, Michigan|Ferndale, Michigan|Oak Park, Michigan|Pleasant Ridge, Michigan|Leonard, Michigan|Trenton, Michigan|Lathrup Village, Michigan|Utica, Michigan|Highland Park, Michigan|Hamtramck, Michigan|Algonac, Michigan|Gibraltar, Michigan|Lincoln Park, Michigan|Riverview, Michigan|Troy, Michigan|Clawson, Michigan|River Rouge, Michigan|New Haven, Michigan|Eastpointe, Michigan|Oakland County, Michigan|Warren, Michigan|Berkley, Michigan|Center Line, Michigan|Grosse Pointe Farms, Michigan|Grosse Pointe Woods, Michigan|Roseville, Michigan|Marine City, Michigan|Armada, Michigan|Grosse Pointe Park, Michigan|Sterling Heights, Michigan|Wyandotte, Michigan|New Baltimore, Michigan|St. Clair, Michigan|Michigan","-83.2547,42.0279,-82.4660,42.9205",Dataset|Service,Vector,Shapefile,https://gis-michigan.opendata.arcgis.com/datasets/f8730950c6054a07a3fe27c0c66f24c9_13,https://gis-michigan.opendata.arcgis.com/datasets/f8730950c6054a07a3fe27c0c66f24c9_13.zip,https://utility.arcgis.com/usrsvcs/servers/f8730950c6054a07a3fe27c0c66f24c9/rest/services/EGLE/AirMonitoring/MapServer/13,,,f8730950c6054a07a3fe27c0c66f24c9_13,https://hub.arcgis.com/datasets/f8730950c6054a07a3fe27c0c66f24c9_13,Michigan State University,06a-01,06a-01,Active,ArcGIS Hub,2021-05-13,Public,,False,False,0.0108 MB
,Air Monitoring Sites,"The data contained in this layer file are representative of the current EGLE statewide air monitoring database. This monitoring network meets the United States Environmental Protection Agency's (USEPA) monitoring regulations. The layer contains location, site photographs, and defines the specific pollutants monitored for at that site. Overall the air monitoring network collects data for the six criteria pollutants outlined through the USEPA's National Ambient Air Quality Standards (i.e., carbon monoxide, lead, nitrogen dioxide, ozone, particulate pollution, and sulfur dioxide) along with several other pollutants, as relevant to each area. ",English,"Michigan Dept. of Environment, Great Lakes, and Energy",State of Michigan,Datasets,,AirQualityDivision|AQD|EGLE|Michigan|Monitoring,2021-04-08T16:50:54.000Z,,,,"Twin Lake, Michigan|Franklin, Michigan|Homer, Michigan|Lenawee County, Michigan|Coleman, Michigan|Pellston, Michigan|St. Clair County, Michigan|Village Of Clarkston, Michigan|Lincoln, Michigan|Mcbride, Michigan|Plymouth, Michigan|Breedsville, Michigan|Carleton, Michigan|Roosevelt Park, Michigan|Mackinac Island, Michigan|Essexville, Michigan|Brownlee Park, Michigan|Hersey, Michigan|Washtenaw County, Michigan|Almont, Michigan|Paw Paw, Michigan|Presque Isle Harbor, Michigan|Wixom, Michigan|Fowler, Michigan|Battle Creek, Michigan|Wyoming, Michigan|Cedar, Michigan|Lake Leelanau, Michigan|Oden, Michigan|Colon, Michigan|Oxford, Michigan|River Rouge, Michigan|Estral Beach, Michigan|Warren, Michigan|Albion, Michigan|Grosse Pointe Farms, Michigan|Northport, Michigan|Millersburg, Michigan|Roseville, Michigan|Skidway Lake, Michigan|Keego Harbor, Michigan|Ithaca, Michigan|Ovid, Michigan|Mason, Michigan|Cheboygan, Michigan|Grayling, Michigan|Richmond, Michigan|Prudenville, Michigan|Akron, Michigan|Arenac County, Michigan|Haring, Michigan|Manton, Michigan|Mecosta, Michigan|Mio, Michigan|Ecorse, Michigan|Lakeport, Michigan|Comstock Northwest, Michigan|Lennon, Michigan|Lowell, Michigan|Flushing, Michigan|Millers Lake, Michigan|West Monroe, Michigan|Schoolcraft County, Michigan|Saginaw County, Michigan|Dewitt, Michigan|Wayne, Michigan|Tawas City, Michigan|Ortonville, Michigan|Stanton, Michigan|Gibraltar, Michigan|Lincoln Park, Michigan|Parchment, Michigan|Allegan, Michigan|Saranac, Michigan|Oakland County, Michigan|Litchfield, Michigan|Kent County, Michigan|Interlochen, Michigan|Reed City, Michigan|Harbor Beach, Michigan|Bingham Farms, Michigan|Lamont, Michigan|Sylvan Lake, Michigan|Lake Fenton, Michigan|East Tawas, Michigan|Wyandotte, Michigan|Eaton Rapids, Michigan|Ionia County, Michigan|Roscommon, Michigan|Southfield, Michigan|Harper Woods, Michigan|Springfield, Michigan|Huntington Woods, Michigan|Gratiot County, Michigan|Kingsley, Michigan|Glen Arbor, Michigan|Montmorency County, Michigan|Macomb County, Michigan|Southgate, Michigan|Madison Heights, Michigan|Lake County, Michigan|Oakley, Michigan|St. Louis, Michigan|Brethren, Michigan|Wolverine Lake, Michigan|Howell, Michigan|Westland, Michigan|Ypsilanti, Michigan|Wolverine, Michigan|Bangor, Michigan|Wedgewood, Michigan|Port Hope, Michigan|Eastwood, Michigan|Leland, Michigan|Hickory Corners, Michigan|Bellevue, Michigan|Deckerville, Michigan|Riverdale, Michigan|Hardwood Acres, Michigan|Capac, Michigan|Clawson, Michigan|Palo, Michigan|Jenison, Michigan|Brooklyn, Michigan|Orchard Lake Village, Michigan|Mulliken, Michigan|Mendon, Michigan|Attica, Michigan|Grosse Pointe Woods, Michigan|Caro, Michigan|Dowagiac, Michigan|Peck, Michigan|Bloomfield Hills, Michigan|Le Roy, Michigan|Charlevoix County, Michigan|Otter Lake, Michigan|Grand Traverse County, Michigan|Vassar, Michigan|Naubinway, Michigan|Fairgrove, Michigan|Oscoda County, Michigan|Pinckney, Michigan|Hartland, Michigan|Greenville, Michigan|Sanford, Michigan|Olivet, Michigan|Newaygo, Michigan|Farmington Hills, Michigan|Vandalia, Michigan|Hazel Park, Michigan|Hubbard Lake, Michigan|Westphalia, Michigan|Central Lake, Michigan|South Gull Lake, Michigan|Howard City, Michigan|Houghton Lake, Michigan|Vandercook Lake, Michigan|Paw Paw Lake, Michigan|Union City, Michigan|Mount Clemens, Michigan|Hubbardston, Michigan|North Branch, Michigan|Oscoda, Michigan|Beecher, Michigan|Mason County, Michigan|Branch County, Michigan|Lawton, Michigan|Antrim County, Michigan|Morley, Michigan|Dorr, Michigan|Rockwood, Michigan|Algonac, Michigan|Jonesville, Michigan|Lakewood Club, Michigan|Grant, Michigan|Freeland, Michigan|Hudsonville, Michigan|Byron, Michigan|New Haven, Michigan|Cass City, Michigan|Zilwaukee, Michigan|Horton Bay, Michigan|Comstock Park, Michigan|Tekonsha, Michigan|New Lothrop, Michigan|Byron Center, Michigan|St. Ignace, Michigan|Suttons Bay, Michigan|Rochester, Michigan|Spring Arbor, Michigan|Leslie, Michigan|Imlay City, Michigan|Manistee Lake, Michigan|Indian River, Michigan|Frankfort, Michigan|Ingham County, Michigan|Benzonia, Michigan|Lapeer County, Michigan|Roscommon County, Michigan|Chesaning, Michigan|Royal Oak, Michigan|Standish, Michigan|Saline, Michigan|Charlevoix, Michigan|Freeport, Michigan|Gladwin, Michigan|Millington, Michigan|Berrien County, Michigan|St. Joseph County, Michigan|Utica, Michigan|Scottville, Michigan|Highland Park, Michigan|Napoleon, Michigan|Rosebush, Michigan|Muir, Michigan|Port Austin, Michigan|Alcona County, Michigan|Lake City, Michigan|Grand Rapids, Michigan|Morrice, Michigan|Alpena County, Michigan|Clinton County, Michigan|Maple Grove, Michigan|North Muskegon, Michigan|Brown City, Michigan|Armada, Michigan|St. James, Michigan|Rapid City, Michigan|Chums Corner, Michigan|Augusta, Michigan|Ann Arbor, Michigan|Cheboygan County, Michigan|Au Sable, Michigan|Atlanta, Michigan|Pearl Beach, Michigan|Bancroft, Michigan|Buckley, Michigan|Sunfield, Michigan|Grosse Pointe, Michigan|Onsted, Michigan|Barnes Lake, Michigan|Memphis, Michigan|Luther, Michigan|Grand Haven, Michigan|Shields, Michigan|Holland, Michigan|Romeo, Michigan|Eureka, Michigan|Middletown, Michigan|Maple Rapids, Michigan|Beechwood, Michigan|Portland, Michigan|Manistee County, Michigan|Petoskey, Michigan|Columbiaville, Michigan|Mount Morris, Michigan|Mackinac County, Michigan|Bay County, Michigan|Elkton, Michigan|Livonia, Michigan|Ubly, Michigan|Pewamo, Michigan|Burton, Michigan|Vanderbilt, Michigan|Flat Rock, Michigan|Beaverton, Michigan|Pontiac, Michigan|Thompsonville, Michigan|Melvin, Michigan|Argentine, Michigan|Melvindale, Michigan|Presque Isle County, Michigan|Maple City, Michigan|Britton, Michigan|Laingsburg, Michigan|Harrisville, Michigan|Three Rivers, Michigan|Ponshewaing, Michigan|Jackson County, Michigan|Hillsdale County, Michigan|Elsie, Michigan|Traverse City, Michigan|Lewiston, Michigan|Northville, Michigan|Wayland, Michigan|Applegate, Michigan|Schoolcraft, Michigan|Ferndale, Michigan|Wacousta, Michigan|Climax, Michigan|Elberta, Michigan|Ogemaw County, Michigan|Burlington, Michigan|Grawn, Michigan|Cannonsburg, Michigan|Gobles, Michigan|Norwood, Michigan|Dimondale, Michigan|Manistique, Michigan|Omer, Michigan|Barton Hills, Michigan|Webberville, Michigan|Centreville, Michigan|Carson City, Michigan|Port Sanilac, Michigan|Fostoria, Michigan|Ossineke, Michigan|Canada Creek Ranch, Michigan|Big Rapids, Michigan|Flint, Michigan|Milan, Michigan|Vermontville, Michigan|Advance, Michigan|Sanilac County, Michigan|Farwell, Michigan|Marion, Michigan|Rochester Hills, Michigan|Belleville, Michigan|Lawrence, Michigan|Stony Point, Michigan|Montrose, Michigan|Gaylord, Michigan|Trenton, Michigan|Barry County, Michigan|Stanwood, Michigan|Garden City, Michigan|Hamtramck, Michigan|Walloon Lake, Michigan|Leelanau County, Michigan|Allegan County, Michigan|Rose City, Michigan|Weidman, Michigan|Casnovia, Michigan|Mattawan, Michigan|Tecumseh, Michigan|Muskegon Heights, Michigan|Durand, Michigan|Bay Shore, Michigan|Custer, Michigan|Buena Vista, Michigan|South Lyon, Michigan|Otisville, Michigan|Lakeview, Michigan|Genesee County, Michigan|Lyons, Michigan|Edmore, Michigan|Edgemont Park, Michigan|Clare, Michigan|Quincy, Michigan|Crystal Mountain, Michigan|Manchester, Michigan|Snover, Michigan|Lake Angelus, Michigan|Osceola County, Michigan|Carsonville, Michigan|Stockbridge, Michigan|Onaway, Michigan|Fraser, Michigan|Detroit Beach, Michigan|Galesburg, Michigan|Caseville, Michigan|Woodhaven, Michigan|Crystal Downs Country Club, Michigan|Bay Port, Michigan|Chippewa County, Michigan|Lake Orion, Michigan|Benzie County, Michigan|Sherwood, Michigan|Arcadia, Michigan|Grand Blanc, Michigan|Clio, Michigan|Clinton, Michigan|Omena, Michigan|Eaton County, Michigan|Ellsworth, Michigan|Allendale, Michigan|Sparta, Michigan|Marcellus, Michigan|Huron County, Michigan|Eastport, Michigan|North Adams, Michigan|Northview, Michigan|Kincheloe, Michigan|Springport, Michigan|Baldwin, Michigan|Potterville, Michigan|Hastings, Michigan|Newaygo County, Michigan|Sebewaing, Michigan|Ruby, Michigan|Au Gres, Michigan|Lake Victoria, Michigan|Clare County, Michigan|Detroit, Michigan|East Grand Rapids, Michigan|Grandville, Michigan|Zeeland, Michigan|Mayville, Michigan|Gladwin County, Michigan|Birmingham, Michigan|Wayne County, Michigan|Inkster, Michigan|Kalkaska County, Michigan|Cedar Springs, Michigan|Decatur, Michigan|Free Soil, Michigan|Yale, Michigan|Paris, Michigan|Brutus, Michigan|Whittemore, Michigan|Dearborn, Michigan|Eastpointe, Michigan|Grand Ledge, Michigan|Waverly, Michigan|Cross Village, Michigan|Livingston County, Michigan|Hanover, Michigan|South Haven, Michigan|Lake Odessa, Michigan|Boon, Michigan|Woodland, Michigan|Harrietta, Michigan|Woodland Beach, Michigan|Kalkaska, Michigan|Vineyard Lake, Michigan|Maybee, Michigan|Dexter, Michigan|Saginaw, Michigan|Delton, Michigan|Lexington, Michigan|Pilgrim, Michigan|Eagle, Michigan|Prescott, Michigan|Corunna, Michigan|Pleasant Ridge, Michigan|Leonard, Michigan|Kent City, Michigan|Farmington, Michigan|Kaleva, Michigan|Fowlerville, Michigan|Pigeon, Michigan|Allen, Michigan|Tustin, Michigan|Missaukee County, Michigan|Lansing, Michigan|Monroe County, Michigan|Walled Lake, Michigan|Marlette, Michigan|Owosso, Michigan|Wexford County, Michigan|Riverview, Michigan|Calhoun County, Michigan|Dowling, Michigan|Mancelona, Michigan|Cass County, Michigan|Ferrysburg, Michigan|Center Line, Michigan|Lake Leann, Michigan|Honor, Michigan|Belding, Michigan|Mackinaw City, Michigan|Grosse Pointe Park, Michigan|Forestville, Michigan|Beulah, Michigan|Montcalm County, Michigan|Level Park-oak Park, Michigan|Nessen City, Michigan|Boyne Falls, Michigan|Loomis, Michigan|Swartz Creek, Michigan|Breckenridge, Michigan|Barryton, Michigan|Forest Hills, Michigan|Stronach, Michigan|Bay City, Michigan|Allen Park, Michigan|Kalamazoo, Michigan|Van Buren County, Michigan|Middleville, Michigan|Crawford County, Michigan|Burt, Michigan|Onekama, Michigan|Village Of Grosse Pointe Shores, Michigan|Minden City, Michigan|De Tour Village, Michigan|Perrinton, Michigan|Holly, Michigan|Mcbain, Michigan|St. Helen, Michigan|Fenton, Michigan|Alpena, Michigan|Sheridan, Michigan|Portage, Michigan|Lathrup Village, Michigan|Bath, Michigan|Unionville, Michigan|Emmet County, Michigan|West Branch, Michigan|Fennville, Michigan|Hemlock, Michigan|Elk Rapids, Michigan|White Cloud, Michigan|Hopkins, Michigan|Cutlerville, Michigan|Falmouth, Michigan|Chelsea, Michigan|Gaines, Michigan|South Boardman, Michigan|Midland, Michigan|Bendon, Michigan|Henderson, Michigan|Oceana County, Michigan|New Baltimore, Michigan|Ottawa County, Michigan|Walkerville, Michigan|Charlotte, Michigan|Owendale, Michigan|Harrison, Michigan|South Rockwood, Michigan|Whitmore Lake, Michigan|Fountain, Michigan|Goodrich, Michigan|Eastlake, Michigan|Athens, Michigan|Tuscola County, Michigan|Dryden, Michigan|Spring Lake, Michigan|Twining, Michigan|Fremont, Michigan|Manitou Beach-devils Lake, Michigan|Westwood, Michigan|Bellaire, Michigan|Frankenmuth, Michigan|Nunica, Michigan|Dundee, Michigan|Lake Isabella, Michigan|Pierson, Michigan|Lost Lake Woods, Michigan|Pinconning, Michigan|Kingston, Michigan|Berkley, Michigan|Mecosta County, Michigan|Ironton, Michigan|Kentwood, Michigan|Dearborn Heights, Michigan|Bloomingdale, Michigan|Cadillac, Michigan|East Lansing, Michigan|Posen, Michigan|Hesperia, Michigan|St. Clair, Michigan|Kalamazoo County, Michigan|St. Clair Shores, Michigan|Alden, Michigan|Taylor, Michigan|Ionia, Michigan|Beverly Hills, Michigan|Kinde, Michigan|Romulus, Michigan|Jackson, Michigan|Reese, Michigan|Shepherd, Michigan|East Jordan, Michigan|Bay View, Michigan|Coopersville, Michigan|Parma, Michigan|Linden, Michigan|Fife Lake, Michigan|Copemish, Michigan|Okemos, Michigan|Isabella County, Michigan|Alanson, Michigan|Holt, Michigan|Merrill, Michigan|Ashley, Michigan|Lapeer, Michigan|Novi, Michigan|Beal City, Michigan|Evart, Michigan|Watervliet, Michigan|Marine City, Michigan|Boyne City, Michigan|Clifford, Michigan|Iosco County, Michigan|Sterling Heights, Michigan|Turner, Michigan|Richland, Michigan|Rogers City, Michigan|Mesick, Michigan|Marshall, Michigan|Caledonia, Michigan|Bridgeport, Michigan|Auburn, Michigan|Crystal, Michigan|Vicksburg, Michigan|Elm Hall, Michigan|Hillman, Michigan|Robin Glen-indiantown, Michigan|Hartford, Michigan|Gagetown, Michigan|Emmett, Michigan|Midland County, Michigan|Lake Ann, Michigan|Lupton, Michigan|Perry, Michigan|Jennings, Michigan|Sand Lake, Michigan|Rockford, Michigan|Scotts, Michigan|Levering, Michigan|Sterling, Michigan|Harbor Springs, Michigan|Addison, Michigan|Vernon, Michigan|Brighton, Michigan|Alba, Michigan|Troy, Michigan|Martin, Michigan|Dansville, Michigan|Wellston, Michigan|Nashville, Michigan|Carp Lake, Michigan|Williamston, Michigan|Conway, Michigan|Canadian Lakes, Michigan|Concord, Michigan|Bad Axe, Michigan|Grass Lake, Michigan|Birch Run, Michigan|Mount Pleasant, Michigan|Shaftsburg, Michigan|Tower, Michigan|Cement City, Michigan|Caberfae, Michigan|St. Johns, Michigan|Wolf Lake, Michigan|Haslett, Michigan|Coldwater, Michigan|Davison, Michigan|Fruitport, Michigan|Milford, Michigan|Muskegon County, Michigan|Oak Park, Michigan|Walker, Michigan|Croswell, Michigan|Trufant, Michigan|Ravenna, Michigan|Douglas, Michigan|Sandusky, Michigan|Lakes Of The North, Michigan|Otsego, Michigan|Metamora, Michigan|St. Charles, Michigan|Clarksville, Michigan|Alma, Michigan|Greilickville, Michigan|Saugatuck, Michigan|Empire, Michigan|Shiawassee County, Michigan|Otsego County, Michigan|Plainwell, Michigan|Winn, Michigan|Filer City, Michigan|Michigan Center, Michigan|Auburn Hills, Michigan|Bear Lake, Michigan|Michigan","-86.3111,41.8956,-82.4502,46.2889",Dataset|Service,Vector,Shapefile,https://gis-michigan.opendata.arcgis.com/datasets/de42e96508e143d9a1ef17921cb2b27a_0,https://gis-michigan.opendata.arcgis.com/datasets/de42e96508e143d9a1ef17921cb2b27a_0.zip,https://utility.arcgis.com/usrsvcs/servers/de42e96508e143d9a1ef17921cb2b27a/rest/services/EGLE/AirMonitoring/MapServer/0,,,de42e96508e143d9a1ef17921cb2b27a_0,https://hub.arcgis.com/datasets/de42e96508e143d9a1ef17921cb2b27a_0,Michigan State University,06a-01,06a-01,Active,ArcGIS Hub,2021-05-13,Public,,False,False,0.0044 MB
