portalName,total,new_items,deleted_items
03a-03,236,1,0
04b-24003,163,0,0
01b-18163,56,0,0
01c-02,870,0,0
02b-17113,20,0,0
03a-02,1024,1,1
03b-19113,140,1,1
04a-01,1488,10,1
04b-24005,205,1,0
04b-24013,34,0,0
04b-24021,110,0,0
04b-24025,91,0,0
04c-01,1661,46,1
04c-02,672,29,1
04f-01,188,24,0
05b-27011,15,0,0
05b-27019,81,0,0
05b-27027,19,0,0
05b-27053,28,0,0
05b-27119,71,1,0
05b-27121,28,0,0
05b-27123,30,0,0
05b-27137,8,0,0
05b-27167,48,0,0
05c-01,206,6,1
06a-01,433,7,1
06b-26125,323,0,0
06f-01,44,2,0
07b-26161,12,0,0
07c-01,164,5,0
07d-02,67,0,0
08b-42003,56,1,1
08b-42027,86,0,0
08b-42029,52,0,0
08b-42039,293,0,0
08b-42043,32,0,0
08b-42091,92,6,0
08b-42133,51,3,0
08c-02,345,3,0
09c-01,115,5,0
10b-55003,9,0,0
10b-55021,84,0,0
10b-55025,56,0,0
10b-55025-01,48,0,0
10b-55035-01,38,0,0
10b-55079,60,0,0
10b-55087,114,0,0
10b-55059,41,0,0
10b-55093,5,0,0
10b-55101,104,0,1
10b-55109,6,1,1
10b-55111,80,0,0
10b-55125-01,33,0,0
10b-55133,47,0,0
10b-55135,60,0,0
10b-55137,12,0,0
10b-55141,17,0,0
10c-03,165,1,0
10c-04,24,0,0
11a-01,1000,7,1
11b-39009,26,20,0
11b-39035,36,4,0
11b-39049,40,1,0
11b-39093,222,0,0
11b-39151,114,3,0
11b-39153,7,1,0
12b-17031,248,4,1
12b-17043,89,4,0
12b-17097,1595,0,0
12b-17143,127,0,0
12d-03,34,0,0
13a-01,192,8,1
99-1000,582,3,1
99-1100,402,11,0
05b-27023,7,7,0
13c-02,53,53,0
13c-01,198,198,0
13a-04,53,53,0
13b-31055,75,75,0
13b-31153,118,118,0
